episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-13397.442394198348,-0.38234710029104874,203303047.01542383,5802.027597472142,-6464.580086854307,-0.1844914408348832,-20330.304701542387,-0.5802027597472142,33.613013698630134,35040,31536000
1,-13433.715600829235,-0.38338229454421335,204209429.14634946,5827.894667418649,-6446.488287023527,-0.18397512234656185,-20420.942914634947,-0.5827894667418649,33.58447488584475,35040,31536000
2,-13492.294571129863,-0.3850540688107838,204897814.39858112,5847.54036525631,-6494.807702401611,-0.1853541010959364,-20489.78143985811,-0.584754036525631,33.58732876712329,35040,31536000
3,-13618.844783810304,-0.3886656616384219,208138479.67945188,5940.025105007188,-6423.841599675417,-0.1833288127761249,-20813.847967945192,-0.594002510500719,33.570205479452056,35040,31536000
4,-13701.092120094123,-0.39101290297072266,209703159.89548683,5984.679220761611,-6431.868250639559,-0.1835578838652842,-20970.315989548686,-0.5984679220761612,33.58732876712329,35040,31536000
5,-13825.971487314204,-0.3945768118525743,211929916.55753857,6048.228212258521,-6458.951318874548,-0.18433080247929645,-21192.991655753856,-0.6048228212258521,33.59018264840183,35040,31536000
6,-13940.692873094838,-0.39785082400384814,213935035.06997117,6105.451914097351,-6487.882239192555,-0.18515645659796104,-21393.503506997116,-0.6105451914097351,33.62157534246575,35040,31536000
7,-14034.27881315175,-0.4005216556264769,215593052.63561082,6152.769766998025,-6509.25236274241,-0.18576633455315097,-21559.305263561084,-0.6152769766998026,33.615867579908674,35040,31536000
8,-14074.602206802796,-0.4016724374087556,217404545.9913499,6204.467636739438,-6408.749814470605,-0.1828981111435675,-21740.454599134988,-0.6204467636739437,33.58447488584475,35040,31536000
9,-14156.671055177541,-0.4040145849080349,218393749.64673018,6232.698334666958,-6473.967145682059,-0.18475933634937383,-21839.374964673025,-0.623269833466696,33.635844748858446,35040,31536000
10,-14203.18004669319,-0.40534189630973716,219376259.70543945,6260.738005292222,-6468.734122842439,-0.18460999209025225,-21937.625970543944,-0.6260738005292221,33.62728310502283,35040,31536000
11,-14254.493923237926,-0.4068063334257399,220525628.65299466,6293.539630507838,-6456.424981176387,-0.18425870380069598,-22052.56286529947,-0.629353963050784,33.65867579908676,35040,31536000
12,-14399.390634966785,-0.41094151355498815,223267923.57321826,6371.80147183842,-6471.98891261174,-0.18470287992613413,-22326.792357321825,-0.6371801471838421,33.57591324200913,35040,31536000
13,-14428.409306386748,-0.4117696719859232,224155694.05046445,6397.137387284944,-6441.249207727046,-0.1838256052433518,-22415.569405046448,-0.6397137387284946,33.59303652968036,35040,31536000
14,-14570.159447717431,-0.41581505273166186,226482390.88672096,6463.538552703224,-6492.079806762767,-0.18527625019300134,-22648.239088672097,-0.6463538552703224,33.578767123287676,35040,31536000
15,-14659.786654769405,-0.41837290681419537,228178611.20262033,6511.946666741448,-6501.712189276775,-0.18555114695424585,-22817.861120262038,-0.6511946666741449,33.5587899543379,35040,31536000
16,-14689.370756129678,-0.41921720194434015,229049010.05347133,6536.786816594501,-6473.840506912221,-0.18475572222923006,-22904.901005347132,-0.6536786816594501,33.50456621004566,35040,31536000
17,-14769.16662240279,-0.42149448123295635,230981454.99466306,6591.936500989243,-6440.187745339277,-0.1837953123669885,-23098.145499466307,-0.6591936500989243,33.52739726027397,35040,31536000
18,-14917.660916205195,-0.4257323320834816,233173204.75765502,6654.486437147689,-6518.001356644888,-0.1860160204521943,-23317.320475765508,-0.6654486437147691,33.544520547945204,35040,31536000
