episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-16784.604987698367,-0.4790126994206155,213711499.29907054,6099.07246858078,-12198.060045489676,-0.3481181519831528,-21371.14992990706,-0.6099072468580782,31.10730593607306,35040,31536000
1,-16819.10813512978,-0.47999737828566724,215501290.29695427,6150.150978794357,-12088.08724056413,-0.34497965869189867,-21550.129029695432,-0.6150150978794359,31.324200913242013,35040,31536000
2,-16754.81784794429,-0.4781626098157617,215601199.24155962,6153.002261460035,-11949.51577173262,-0.34102499348551996,-21560.119924155966,-0.6153002261460035,31.446917808219176,35040,31536000
3,-16784.067084680595,-0.4789973483070946,217136289.85461164,6196.811925074533,-11854.50518390002,-0.3383135041067358,-21713.628985461164,-0.6196811925074533,31.59246575342466,35040,31536000
4,-16907.48378017958,-0.4825195142745314,219810000.3071216,6273.11644712105,-11833.967529646994,-0.3377273838369576,-21981.000030712163,-0.6273116447121051,31.860730593607308,35040,31536000
5,-16910.25091123029,-0.48259848490954027,220621060.30587572,6296.263136583211,-11758.395791873012,-0.3355706561607595,-22062.106030587573,-0.6296263136583211,32.19178082191781,35040,31536000
6,-16879.002299446733,-0.481706686628046,220964679.0374222,6306.069607232369,-11661.536695151244,-0.33280641253285514,-22096.467903742217,-0.6306069607232369,32.10331050228311,35040,31536000
7,-16931.466567686715,-0.4832039545572693,222627366.27410072,6353.520727000591,-11600.196507963363,-0.33105583641447955,-22262.736627410075,-0.6353520727000592,32.40011415525114,35040,31536000
8,-16928.832386977305,-0.48312877816716054,223693541.90551794,6383.94811374195,-11488.31058340281,-0.32786274496012585,-22369.3541905518,-0.6383948113741952,32.5,35040,31536000
9,-16942.23246840152,-0.4835112005822351,224136988.0761596,6396.60354098629,-11470.766129187077,-0.32736204706584127,-22413.698807615965,-0.6396603540986291,32.6541095890411,35040,31536000
10,-17009.54586544355,-0.4854322450183661,225423286.1709086,6433.312961498533,-11476.76311379624,-0.327533193886879,-22542.328617090858,-0.6433312961498533,32.89098173515982,35040,31536000
11,-17105.747028338756,-0.48817771199596904,227569583.4743289,6494.565738422629,-11454.53570924462,-0.32689885014967524,-22756.95834743289,-0.6494565738422629,32.79109589041096,35040,31536000
12,-17109.366174916522,-0.4882809981425948,228226943.68075788,6513.326018286469,-11396.037981757261,-0.32522939445654286,-22822.694368075787,-0.6513326018286468,33.013698630136986,35040,31536000
13,-17105.99094321544,-0.4881846730369704,228728545.46203858,6527.641137615256,-11339.127340227024,-0.32360523231241506,-22872.85454620386,-0.6527641137615257,33.11929223744292,35040,31536000
14,-17174.400375014877,-0.4901369970038492,230059971.757349,6565.638463394664,-11342.803574294847,-0.3237101476682319,-23005.997175734905,-0.6565638463394665,33.37899543378995,35040,31536000
15,-17239.374484801265,-0.4919912809589402,231245637.25686586,6599.475949111468,-11354.185243915947,-0.3240349670067336,-23124.56372568659,-0.659947594911147,33.55308219178082,35040,31536000
16,-17257.853321831262,-0.492518645029431,231906688.98880562,6618.341580730754,-11325.037744781963,-0.3232031319857866,-23190.66889888056,-0.6618341580730754,33.73573059360731,35040,31536000
17,-17288.969409706508,-0.4934066612359163,232681987.70482698,6640.467685640039,-11309.740048930307,-0.3227665539078284,-23268.1987704827,-0.664046768564004,33.84132420091324,35040,31536000
18,-17339.501574329137,-0.49484878922172193,233380457.75369135,6660.40119160078,-11340.957373289144,-0.323657459283366,-23338.045775369133,-0.666040119160078,33.97260273972603,35040,31536000
