episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-14263.283558688488,-0.4070571791863153,194344062.04367164,5546.3488026161995,-9092.160913009815,-0.2594794781110107,-19434.406204367166,-0.55463488026162,30.296803652968034,35040,31536000
1,-14317.572698060485,-0.40860652677113257,195916400.77391452,5591.221483273816,-9043.505318729522,-0.2580909052148836,-19591.64007739145,-0.5591221483273816,30.28824200913242,35040,31536000
2,-14378.552296010044,-0.41034681210074325,197926669.7095095,5648.592172075043,-8964.43762106914,-0.2558344069939823,-19792.666970950948,-0.5648592172075042,30.231164383561644,35040,31536000
3,-14470.860085180466,-0.412981166814511,200057903.10421485,5709.4150429285055,-8935.92985993944,-0.25502082933617126,-20005.79031042149,-0.5709415042928507,30.305365296803654,35040,31536000
4,-14529.275938195025,-0.4146482859073923,201389855.15610442,5747.427373176496,-8919.566360779609,-0.2545538344971349,-20138.985515610446,-0.5747427373176497,30.21974885844749,35040,31536000
5,-14615.466109065737,-0.4171080510578121,203344257.90765136,5803.203707410142,-8896.506427366337,-0.2538957313746101,-20334.42579076514,-0.5803203707410143,30.196917808219176,35040,31536000
6,-14685.912284898208,-0.41911850128134154,204874656.2549821,5846.879459331682,-8884.358944298208,-0.2535490566295151,-20487.46562549821,-0.5846879459331681,30.14269406392694,35040,31536000
7,-14699.15316178407,-0.41949638018790153,205530801.6983044,5865.605071298642,-8845.226153737694,-0.25243225324593876,-20553.080169830442,-0.5865605071298642,30.068493150684933,35040,31536000
8,-14740.696502461686,-0.4206819778099796,206957059.44482556,5906.308774110318,-8785.687060440814,-0.2507330782089273,-20695.705944482557,-0.5906308774110319,30.059931506849313,35040,31536000
9,-14821.149747074169,-0.4229780178959523,208917140.02357244,5962.247146791451,-8750.585491791087,-0.24973132111275934,-20891.714002357246,-0.5962247146791452,29.868721461187214,35040,31536000
10,-14905.762901155647,-0.4253927768594648,210403955.08958974,6004.679083607013,-8771.13029335232,-0.2503176453582283,-21040.39550895898,-0.6004679083607015,29.8087899543379,35040,31536000
11,-14943.990012056614,-0.4264837332207938,211513933.27098954,6036.356543121848,-8736.586697014272,-0.24933181212940275,-21151.393327098955,-0.6036356543121848,29.800228310502284,35040,31536000
12,-15023.712609831586,-0.4287589215134585,212839669.13208976,6074.191470664662,-8763.458306454198,-0.25009869596045087,-21283.966913208977,-0.6074191470664663,29.92865296803653,35040,31536000
13,-15139.379351162474,-0.4320599129897966,214849085.6985081,6131.537833861533,-8793.850132474134,-0.2509660425934399,-21484.908569850813,-0.6131537833861533,29.88013698630137,35040,31536000
14,-15255.172736065271,-0.43536451872332393,217257240.4640691,6200.263711874118,-8784.621425723628,-0.25070266625923593,-21725.72404640691,-0.6200263711874119,29.774543378995432,35040,31536000
15,-15294.042006818141,-0.43647380156444465,217919626.76565796,6219.167430526768,-8796.121337070486,-0.2510308600762125,-21791.9626765658,-0.621916743052677,29.8087899543379,35040,31536000
16,-15368.624160226977,-0.43860228767771053,219503252.8793974,6264.362239708829,-8786.923032514205,-0.25076835138453785,-21950.325287939748,-0.6264362239708832,29.78025114155251,35040,31536000
17,-15432.886086271168,-0.44043624675431414,221003150.52098936,6307.167537699468,-8765.457120443398,-0.25015573973868144,-22100.315052098937,-0.6307167537699468,29.628995433789957,35040,31536000
18,-15550.03795778216,-0.44377962208282423,223121013.45843455,6367.608831576328,-8787.974569720867,-0.2507983610080156,-22312.101345843457,-0.6367608831576329,29.691780821917806,35040,31536000
