episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-9602.840967353428,-0.2740536805751549,123017883.114397,3510.7843354565357,-6903.893623267153,-0.1970289276046562,-12301.788311439701,-0.35107843354565355,33.18493150684931,35040,31536000
1,-10138.974472239102,-0.2893542942990611,128891948.69796066,3678.4231934349505,-7388.754074682137,-0.2108662692546272,-12889.194869796069,-0.3678423193434951,33.91837899543379,35040,31536000
2,-10501.5206827332,-0.29970093272640413,134130077.81193116,3827.9131795642456,-7590.033584273284,-0.21661054749638367,-13413.007781193119,-0.3827913179564246,33.6986301369863,35040,31536000
3,-10908.941593614276,-0.31132824182689145,138625400.9498141,3956.2043650061105,-7955.343092247138,-0.22703604715317174,-13862.540094981412,-0.3956204365006111,33.849885844748854,35040,31536000
4,-11281.615623165933,-0.32196391618624237,143216149.27020723,4087.218871866645,-8241.616319311146,-0.2352059451858204,-14321.614927020724,-0.4087218871866645,34.15239726027397,35040,31536000
5,-11516.044022016424,-0.3286542243726148,146441826.36708912,4179.275866640672,-8387.905407323933,-0.23938086208116247,-14644.18263670891,-0.4179275866640671,34.07534246575342,35040,31536000
6,-11798.344205266998,-0.33671073645168376,149657215.00426146,4271.039240989197,-8630.966910107853,-0.24631754880444784,-14965.721500426147,-0.42710392409891973,34.32648401826484,35040,31536000
7,-12077.482359119553,-0.34467700796574063,153132255.3930219,4370.212768065694,-8841.739178936914,-0.25233273912491194,-15313.225539302191,-0.4370212768065694,34.42351598173516,35040,31536000
8,-12311.61564014514,-0.3513588938397586,156245085.1609753,4459.049234046099,-8998.722764192751,-0.2568128642749073,-15624.50851609753,-0.4459049234046099,34.734589041095894,35040,31536000
9,-12473.588817173697,-0.3559814160152311,158646232.90865687,4527.57514008724,-9082.554343481705,-0.25920531802173813,-15864.62329086569,-0.452757514008724,34.98858447488584,35040,31536000
10,-12637.913153597958,-0.3606710374885262,161240186.00896272,4601.6034819909455,-9151.807706299644,-0.26118172677795787,-16124.018600896277,-0.4601603481990947,35.05422374429224,35040,31536000
11,-12947.957628840892,-0.3695193387226282,164242046.08551836,4687.273004723697,-9471.710649129946,-0.2703113769728866,-16424.20460855184,-0.4687273004723699,35.442351598173516,35040,31536000
12,-13081.930396784785,-0.37334276246531917,166814289.88987413,4760.681789094581,-9482.431804582155,-0.2706173460211802,-16681.428988987416,-0.47606817890945824,35.356735159817354,35040,31536000
13,-13192.101051105674,-0.3764869021434268,168672864.24952507,4813.723294792382,-9516.915677258841,-0.2716014748076153,-16867.286424952505,-0.48137232947923814,35.202625570776256,35040,31536000
14,-13473.638580696439,-0.38452164899247826,170721879.10306466,4872.199746092027,-9875.089251086414,-0.28182332337575383,-17072.187910306464,-0.48721997460920274,35.64783105022831,35040,31536000
15,-13724.730721066984,-0.3916875205783957,173443817.42847508,4949.880634374289,-10105.079699286458,-0.2883869777193624,-17344.38174284751,-0.4949880634374289,35.81050228310502,35040,31536000
16,-13841.727413317452,-0.3950264672750414,175568045.2837734,5010.503575450154,-10126.650298257568,-0.28900257700506754,-17556.80452837734,-0.5010503575450154,35.86472602739726,35040,31536000
17,-14085.208904426987,-0.4019751399665236,178071373.687348,5081.945596100114,-10363.28044011917,-0.29575572032303565,-17807.137368734802,-0.5081945596100115,36.441210045662096,35040,31536000
18,-14171.132617402662,-0.4044273007249618,179562573.03307295,5124.502655053452,-10386.00793149803,-0.2964043359445785,-17956.2573033073,-0.5124502655053452,36.34132420091324,35040,31536000
