episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-11200.93870167551,-0.31966149262772575,117332747.55003165,3348.5373159255605,-10668.602648347856,-0.30446925366289546,-11733.274755003165,-0.3348537315925561,32.62842465753425,35040,31536000
1,-11572.84081768607,-0.3302751374910408,122771576.18455316,3503.7550280979785,-10868.52401691682,-0.3101747721722837,-12277.157618455316,-0.35037550280979785,32.8824200913242,35040,31536000
2,-11973.098338052308,-0.3416980119307166,127787903.38110721,3646.9150508306852,-11167.406337993896,-0.31870451877836464,-12778.79033811072,-0.3646915050830685,33.56164383561644,35040,31536000
3,-12348.556470726913,-0.35241314128786855,132989939.68039952,3795.374990878982,-11398.118973413873,-0.32528878348783885,-13298.993968039951,-0.37953749908789813,33.67579908675799,35040,31536000
4,-12579.482240673968,-0.3590034886037091,136195856.98338166,3886.8680645942254,-11539.378783009772,-0.32932017074799574,-13619.585698338167,-0.3886868064594226,33.98116438356165,35040,31536000
5,-13052.413710854224,-0.3725003912915018,140636277.2879201,4013.592388353884,-12041.19969291644,-0.3436415437476153,-14063.627728792006,-0.40135923883538827,34.880136986301366,35040,31536000
6,-13277.504281183099,-0.3789242089378738,144555455.02742654,4125.441068134319,-12099.463059623542,-0.3453043110623157,-14455.545502742654,-0.4125441068134319,34.785958904109584,35040,31536000
7,-13500.858346872046,-0.385298468803426,147121948.23489892,4198.685737297344,-12289.521870254199,-0.35072836387711753,-14712.194823489894,-0.4198685737297344,35.136986301369866,35040,31536000
8,-13751.532671999177,-0.3924524164383327,149380138.62956873,4263.131810204587,-12565.051481041482,-0.3585916518562067,-14938.013862956872,-0.4263131810204587,35.50228310502283,35040,31536000
9,-13991.97743162521,-0.39931442441852766,152934142.02917814,4364.558847864673,-12690.54066033261,-0.3621729640505882,-15293.414202917813,-0.43645588478646724,35.428082191780824,35040,31536000
10,-14215.898026860938,-0.4057048523647528,155332946.26067504,4433.01787273616,-12898.501427654366,-0.36810791745588944,-15533.294626067505,-0.443301787273616,35.83904109589041,35040,31536000
11,-14457.1526256085,-0.4125899721920234,158121881.51593506,4512.610773856594,-13102.117099623492,-0.37391886699838733,-15812.188151593506,-0.4512610773856594,36.40696347031964,35040,31536000
12,-14726.424854843279,-0.42027468193045886,160851251.97298026,4590.503766352176,-13367.724512388528,-0.38149898722569997,-16085.125197298028,-0.4590503766352177,36.532534246575345,35040,31536000
13,-14871.022860270434,-0.424401337336485,163188593.14888984,4657.208708587039,-13423.186405651883,-0.38308180381426604,-16318.859314888983,-0.46572087085870384,36.675228310502284,35040,31536000
14,-15124.945034582453,-0.4316479747312344,165981345.43304944,4736.910543180635,-13651.755525859957,-0.38960489514440516,-16598.13454330495,-0.47369105431806363,36.68949771689498,35040,31536000
15,-15291.163282073532,-0.4363916461778976,168818187.09874445,4817.870636379694,-13700.507854272615,-0.3909962287178258,-16881.818709874446,-0.48178706363796936,36.87214611872146,35040,31536000
16,-15438.929515493186,-0.4406087190494631,169511100.87034774,4837.645572783897,-13926.748943951594,-0.39745288082053637,-16951.110087034773,-0.48376455727838963,37.226027397260275,35040,31536000
17,-15510.91503203575,-0.44266310022933075,171688375.7474902,4899.782412884994,-13852.992489322474,-0.3953479591701619,-17168.837574749024,-0.48997824128849954,36.84360730593607,35040,31536000
18,-15672.043789926809,-0.44726152368512584,173524342.91209158,4952.178736075673,-13991.65328864446,-0.3993051737626844,-17352.434291209156,-0.49521787360756725,37.16324200913242,35040,31536000
