episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-17391.504538664976,-0.49633289208518766,211159381.12431377,6026.2380457852105,-13667.07096489858,-0.39004197959185444,-21115.938112431377,-0.602623804578521,32.28310502283105,35040,31536000
1,-17433.68512221675,-0.4975366758623502,212467894.01823947,6063.581450292222,-13620.58084260955,-0.38871520669547804,-21246.78940182395,-0.6063581450292223,32.47431506849315,35040,31536000
2,-17350.873697368017,-0.49517333611210096,212749105.66457754,6071.606896820135,-13426.836828278289,-0.3831859825421886,-21274.91056645775,-0.6071606896820134,32.845319634703195,35040,31536000
3,-17450.401148192475,-0.4980137313981871,214751053.868935,6128.740121830337,-13425.696909491448,-0.3831534506133404,-21475.1053868935,-0.6128740121830337,33.11929223744292,35040,31536000
4,-17476.552437710467,-0.4987600581538375,216368673.27055344,6174.9050590911365,-13316.237548365592,-0.3800296103985614,-21636.867327055345,-0.6174905059091137,33.23915525114155,35040,31536000
5,-17479.2854860082,-0.49883805610753995,217230695.80171958,6199.506158724874,-13235.501391844446,-0.3777254963425926,-21723.06958017196,-0.6199506158724875,33.5074200913242,35040,31536000
6,-17537.927433383084,-0.5005116276650423,217975647.3012467,6220.766190104073,-13278.290136641497,-0.37894663631967745,-21797.564730124675,-0.6220766190104075,33.67294520547945,35040,31536000
7,-17593.40695280305,-0.502094947283192,219354849.60416222,6260.126986420155,-13251.328945189878,-0.37817719592436866,-21935.48496041622,-0.6260126986420154,33.80993150684932,35040,31536000
8,-17563.72744508618,-0.5012479293688978,220018361.3472953,6279.062823838337,-13125.61875544283,-0.37458957635396206,-22001.836134729532,-0.6279062823838337,34.175228310502284,35040,31536000
9,-17568.852915496744,-0.501394204209382,220706039.21819368,6298.6883338525595,-13067.101909174115,-0.3729195750335078,-22070.60392181937,-0.629868833385256,34.21518264840183,35040,31536000
10,-17590.647504558896,-0.5020161959063612,221062713.2030032,6308.867385930456,-13075.023688817464,-0.37314565321967647,-22106.271320300322,-0.6308867385930458,34.31221461187214,35040,31536000
11,-17594.799107954805,-0.5021346777384362,221598443.90131402,6324.156504032934,-13029.753825778213,-0.3718537050735791,-22159.8443901314,-0.6324156504032933,34.46917808219178,35040,31536000
12,-17613.99729339932,-0.5026825711586563,222535331.15560123,6350.894153984053,-12974.46147123852,-0.37027572691890753,-22253.53311556013,-0.6350894153984056,34.35216894977169,35040,31536000
13,-17657.482276571798,-0.5039235809523915,223448145.90181035,6376.944803133857,-12970.149962962561,-0.3701526815913973,-22344.81459018104,-0.6376944803133858,34.35216894977169,35040,31536000
14,-17680.709849846546,-0.5045864683175384,224375673.73137996,6403.415346215182,-12923.852326555092,-0.3688314020135586,-22437.567373137994,-0.6403415346215181,34.46061643835616,35040,31536000
15,-17744.709701751617,-0.5064129481093498,225179693.98250023,6426.361129637564,-12971.45000525321,-0.37018978325494317,-22517.969398250025,-0.6426361129637564,34.54052511415525,35040,31536000
16,-17791.114537584483,-0.5077372870315207,226007179.136979,6449.976573543921,-12981.511161471066,-0.37047691670864913,-22600.717913697907,-0.6449976573543923,34.574771689497716,35040,31536000
17,-17746.81001650479,-0.5064728885988811,226630966.5631721,6467.7787261179255,-12830.523376692377,-0.36616790458596965,-22663.09665631721,-0.6467778726117925,34.566210045662096,35040,31536000
18,-17756.77443111895,-0.5067572611620704,226240032.6145559,6456.621935346915,-12889.54560078231,-0.3678523287894495,-22624.003261455593,-0.6456621935346916,34.98858447488584,35040,31536000
