episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-14871.636219005637,-0.42441884186659923,191546600.6997604,5466.512577047957,-10588.61236803523,-0.3021864260284027,-19154.660069976042,-0.5466512577047957,32.545662100456624,35040,31536000
1,-14902.096080365398,-0.42528813014741434,192536954.58255345,5494.776101100269,-10550.496702475451,-0.3010986501848017,-19253.695458255344,-0.5494776101100269,32.59417808219178,35040,31536000
2,-14869.998671548603,-0.42437210820629573,193124083.23262617,5511.532055725633,-10427.589019834588,-0.2975910108400282,-19312.40832326262,-0.5511532055725634,32.462899543378995,35040,31536000
3,-14868.981324604116,-0.4243430743323092,194323267.60269392,5545.7553539581595,-10305.63588893884,-0.2941106132688025,-19432.326760269392,-0.5545755353958159,32.49714611872146,35040,31536000
4,-14889.71147723543,-0.4249346882772669,195560598.79920113,5581.0673173288,-10223.363074550743,-0.29176264482165365,-19556.05987992011,-0.5581067317328798,32.19748858447489,35040,31536000
5,-14968.88314122538,-0.4271941535737837,196510502.10156414,5608.176429839159,-10286.716072294343,-0.29357066416365135,-19651.050210156416,-0.560817642983916,32.18892694063927,35040,31536000
6,-15030.714470015384,-0.4289587462903934,198454580.68157223,5663.658124474094,-10215.970871873547,-0.2915516801333775,-19845.45806815722,-0.5663658124474092,32.27454337899543,35040,31536000
7,-15169.666046394635,-0.4329242593149154,200857626.0676928,5732.238186863378,-10253.569486019991,-0.2926246999434929,-20085.762606769276,-0.5732238186863378,32.157534246575345,35040,31536000
8,-15180.398754700165,-0.4332305580679271,202287380.49339783,5773.041680747655,-10132.05946006055,-0.2891569480610887,-20228.738049339783,-0.5773041680747655,32.06335616438356,35040,31536000
9,-15221.192916217697,-0.4343947750062128,202677363.62087688,5784.17133621224,-10174.649470347704,-0.2903724163912016,-20267.736362087686,-0.5784171336212239,31.966324200913242,35040,31536000
10,-15266.043061302387,-0.43567474490018226,204132859.7649743,5825.70946817849,-10118.800146107344,-0.28877854298251554,-20413.28597649743,-0.582570946817849,31.932077625570777,35040,31536000
11,-15374.798316451986,-0.4387784907663238,206165068.91227442,5883.7063045740415,-10133.08974167653,-0.28918635107524343,-20616.506891227444,-0.5883706304574042,31.89783105022831,35040,31536000
12,-15443.719113525538,-0.4407454084910256,208241526.12399328,5942.965928196155,-10063.285614651746,-0.2871942241624357,-20824.152612399328,-0.5942965928196156,31.840753424657535,35040,31536000
13,-15498.44880815839,-0.44230732899995406,208958752.06761453,5963.434705125986,-10101.022409555331,-0.2882711874873097,-20895.87520676145,-0.5963434705125985,31.703767123287673,35040,31536000
14,-15624.126505430497,-0.44589402127370137,210559016.1018343,6009.104340805773,-10192.351400677559,-0.2908776084668253,-21055.901610183435,-0.6009104340805774,31.74942922374429,35040,31536000
15,-15676.66936855686,-0.447393532207673,211840277.4957022,6045.670019854515,-10169.310987543502,-0.29022006242989445,-21184.02774957022,-0.6045670019854515,31.783675799086758,35040,31536000
16,-15758.619184023251,-0.4497322826490654,213355805.1152798,6088.921378860725,-10181.657856518523,-0.2905724274120583,-21335.580511527984,-0.6088921378860725,31.780821917808222,35040,31536000
17,-15787.716984596052,-0.4505626993320791,214492927.67070776,6121.373506584126,-10126.141202121331,-0.28898804800574573,-21449.292767070776,-0.6121373506584126,31.55536529680365,35040,31536000
18,-15861.59767208961,-0.45267116644091354,216060228.62343234,6166.102415052293,-10117.172481835985,-0.2887320913765978,-21606.022862343234,-0.6166102415052293,31.795091324200914,35040,31536000
