episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-21524.07557478161,-0.6142715632072377,93078122.21800473,2656.3391043951124,-33740.33892776275,-0.9629092159749644,-9307.812221800472,-0.2656339104395112,63.45890410958904,35040,31536000
1,-22088.014659484998,-0.6303657151679508,97580683.28439811,2784.8368517236904,-34417.960990530184,-0.9822477451635326,-9758.068328439811,-0.27848368517236904,63.84417808219178,35040,31536000
2,-22394.087521328787,-0.6391006712707987,101383368.48886971,2893.360972855871,-34649.8381937706,-0.9888652452560103,-10138.336848886973,-0.2893360972855871,63.929794520547944,35040,31536000
3,-22808.704250539668,-0.650933340483438,104597489.578351,2985.0881728981453,-35157.65954324423,-1.0033578636770613,-10459.7489578351,-0.2985088172898145,64.26655251141553,35040,31536000
4,-23083.783139134648,-0.6587837653862628,108736688.7270495,3103.216002484289,-35293.897405564356,-1.0072459305240968,-10873.66887270495,-0.3103216002484289,64.06107305936072,35040,31536000
5,-23456.927067994315,-0.669432850113993,112166544.02355343,3201.100000672187,-35697.199733633286,-1.0187557001607672,-11216.654402355343,-0.3201100000672187,64.17522831050229,35040,31536000
6,-23941.504398575595,-0.6832621118314953,114249991.8480143,3260.5591280825997,-36458.00961234975,-1.0404683108547303,-11424.999184801432,-0.3260559128082601,64.76027397260275,35040,31536000
7,-24170.661900070983,-0.6898019948650395,117417802.16144642,3350.964673557261,-36599.543583997314,-1.0445075223743525,-11741.780216144643,-0.3350964673557261,65.09988584474885,35040,31536000
8,-24435.885778637632,-0.6973711694816676,120064209.49621199,3426.4899970380134,-36865.35060765406,-1.0520933392595335,-12006.420949621199,-0.34264899970380136,65.01141552511416,35040,31536000
9,-24688.386745908698,-0.7045772473147459,122118300.76573956,3485.111323223161,-37164.94341524343,-1.0606433623071756,-12211.830076573957,-0.3485111323223161,65.22545662100457,35040,31536000
10,-24715.68749552125,-0.7053563782968394,124424134.66865246,3550.917085292593,-36988.961524177255,-1.0556210480644195,-12442.413466865248,-0.35509170852925936,64.48344748858447,35040,31536000
11,-24953.915620288873,-0.7121551261497966,126755822.52873631,3617.460688605488,-37232.24898770411,-1.0625641834390442,-12675.582252873633,-0.3617460688605489,64.70890410958904,35040,31536000
12,-25110.156913831728,-0.716614067175563,128757581.26506422,3674.5885064230656,-37344.55570115702,-1.065769283708819,-12875.758126506424,-0.3674588506423066,64.87157534246575,35040,31536000
13,-25362.21642147372,-0.7238075462749349,131158973.05421,3743.1213771178654,-37608.53553752645,-1.0733029548380835,-13115.897305421,-0.3743121377117865,65.21974885844749,35040,31536000
14,-25575.516528855573,-0.7298948781066088,133576623.36448985,3812.1182467034773,-37793.37072126215,-1.0785779315428696,-13357.662336448986,-0.38121182467034775,64.88869863013699,35040,31536000
15,-25744.559949769035,-0.7347191766486597,135776545.61871392,3874.901416059187,-37911.46533766668,-1.0819482116914008,-13577.654561871392,-0.3874901416059187,64.57191780821918,35040,31536000
16,-25772.2123661083,-0.7355083437816295,137786227.40354243,3932.2553482746125,-37765.801991862354,-1.0777911527357977,-13778.622740354243,-0.3932255348274613,65.05422374429224,35040,31536000
17,-26023.599535060446,-0.7426826351330036,140384390.2773358,4006.4038321157477,-38008.760042387315,-1.0847248870544326,-14038.439027733579,-0.40064038321157475,64.80308219178083,35040,31536000
18,-26422.72467186716,-0.7540731926902728,141870969.28212494,4048.8290320241135,-38658.35241552182,-1.1032634821781342,-14187.096928212493,-0.4048829032024113,64.85730593607306,35040,31536000
