episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-23270.959272779466,-0.664125550022245,162010139.1064684,4623.57702929419,-30340.904634912087,-0.865893397115071,-16201.01391064684,-0.4623577029294189,55.73915525114155,35040,31536000
1,-23226.932454306694,-0.6628690768923143,163037000.65458375,4652.882438772367,-30150.164843155006,-0.8604499099073917,-16303.700065458374,-0.46528824387723666,55.71061643835616,35040,31536000
2,-23185.793083108976,-0.661695008079594,164376426.6055359,4691.108065226481,-29933.943505664363,-0.85427920963654,-16437.642660553593,-0.4691108065226482,55.0656392694064,35040,31536000
3,-23025.657517435066,-0.6571249291505441,165098641.1919094,4711.719212097871,-29541.45091567919,-0.8430779370913011,-16509.864119190945,-0.47117192120978724,55.63356164383562,35040,31536000
4,-23176.01539696897,-0.6614159645253702,166709028.71170324,4757.677760037193,-29681.127922767613,-0.8470641530470209,-16670.902871170325,-0.47576777600371933,55.830479452054796,35040,31536000
5,-23201.1409130766,-0.662133016925702,167667405.4259806,4785.0286936638295,-29635.541283555136,-0.845763164485021,-16766.74054259806,-0.47850286936638303,55.585045662100455,35040,31536000
6,-23206.50443529451,-0.6622860854821493,169826492.52284914,4846.646476108708,-29430.359618304123,-0.8399075233534281,-16982.64925228491,-0.48466464761087075,55.29965753424657,35040,31536000
7,-23150.216322502543,-0.6606796895691365,170770673.85137123,4873.592290278859,-29223.365259867955,-0.8340001501103869,-17077.067385137125,-0.487359229027886,55.0513698630137,35040,31536000
8,-23209.354613788546,-0.6623674261925955,171472057.64337882,4893.60895100967,-29271.50346323921,-0.835373957284224,-17147.205764337883,-0.489360895100967,55.31107305936073,35040,31536000
9,-23139.163829887835,-0.6603642645515935,172091784.23046085,4911.295212056531,-29069.149236729587,-0.8295990078975338,-17209.17842304609,-0.4911295212056533,55.102739726027394,35040,31536000
10,-23364.129866341398,-0.6667845281490125,173409124.8636615,4948.890549762029,-29387.34724631665,-0.8386800013218222,-17340.91248636615,-0.4948890549762029,55.35673515981735,35040,31536000
11,-23455.4250960794,-0.6693899856187043,175415385.38298902,5006.146843121833,-29369.3116538599,-0.8381652869252254,-17541.538538298904,-0.5006146843121834,55.285388127853885,35040,31536000
12,-23482.847109886017,-0.6701725773369297,177434696.95539138,5063.7755980419915,-29222.2245242329,-0.8339675948696604,-17743.469695539137,-0.5063775598041991,55.19977168949771,35040,31536000
13,-23493.771496880567,-0.6704843463721623,178593840.22784355,5096.856170885946,-29128.158970976772,-0.8312830756557298,-17859.384022784358,-0.5096856170885947,54.98858447488585,35040,31536000
14,-23570.61451896162,-0.6726773549931969,179759440.24698493,5130.121011614867,-29165.285013224748,-0.8323426088249072,-17975.944024698492,-0.5130121011614867,55.19406392694064,35040,31536000
15,-23635.15912214285,-0.6745193813396932,180706354.38315678,5157.144816870913,-29199.68280597003,-0.8333242809922954,-18070.63543831568,-0.5157144816870913,54.880136986301366,35040,31536000
16,-23643.571674846877,-0.6747594656063607,182216006.84644914,5200.228505891813,-29065.542665048837,-0.8294960806235399,-18221.600684644913,-0.5200228505891813,54.57191780821918,35040,31536000
17,-23762.433120132224,-0.6781516301407599,183843710.1314876,5246.681225213688,-29140.495227115687,-0.8316351377601509,-18384.371013148764,-0.5246681225213689,54.87728310502283,35040,31536000
18,-23927.464995530994,-0.6828614439363868,186654000.06513026,5326.883563502576,-29189.529984548968,-0.8330345315225162,-18665.400006513028,-0.5326883563502577,55.039954337899545,35040,31536000
