episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-9428.300411041924,-0.2690725003151234,127912905.96277668,3650.48247610664,-6065.310225806182,-0.1730967530195828,-12791.290596277668,-0.365048247610664,33.958333333333336,35040,31536000
1,-9808.139708027324,-0.2799126629003232,134155348.85246833,3828.6343850590274,-6200.744530807813,-0.17696188729474352,-13415.53488524683,-0.3828634385059027,34.12956621004567,35040,31536000
2,-10142.677384896575,-0.2894599710301534,139424481.69756556,3979.009180866597,-6342.906600036596,-0.18101902397364714,-13942.448169756557,-0.3979009180866597,34.16095890410959,35040,31536000
3,-10513.424220410956,-0.3000406455596734,144069833.55802596,4111.58200793453,-6619.865085019313,-0.18892309032589363,-14406.983355802595,-0.41115820079345305,34.240867579908674,35040,31536000
4,-10782.734743939953,-0.3077264481718023,147430796.58437613,4207.49990252215,-6822.389829442294,-0.19470290609138968,-14743.079658437613,-0.420749990252215,34.40353881278539,35040,31536000
5,-11101.504807797419,-0.31682376734581674,151728972.45628893,4330.164739049342,-7030.112369965945,-0.20063106078669934,-15172.897245628894,-0.4330164739049342,34.52625570776256,35040,31536000
6,-11397.927485969916,-0.325283318663525,155575164.03339702,4439.930480405166,-7238.338568600125,-0.20657358928653324,-15557.516403339707,-0.44399304804051676,34.60045662100457,35040,31536000
7,-11614.656240550115,-0.33146850001569966,158664205.08923924,4528.088044784225,-7362.891972176304,-0.2101281955529767,-15866.420508923926,-0.45280880447842253,34.891552511415526,35040,31536000
8,-11832.585325360524,-0.33768793736759484,161721026.68219566,4615.32610394394,-7493.067982501482,-0.21384326434079573,-16172.102668219566,-0.461532610394394,34.92579908675799,35040,31536000
9,-12013.218490223355,-0.34284299344244734,164573691.48679078,4696.737770741746,-7569.067831767631,-0.21601220981072006,-16457.369148679078,-0.46967377707417457,35.22545662100456,35040,31536000
10,-12265.705992295667,-0.35004868699473934,167346821.12470388,4775.879598307759,-7796.729872120944,-0.22250941415870273,-16734.682112470386,-0.47758795983077584,35.282534246575345,35040,31536000
11,-12479.411683634446,-0.3561475937110287,170479972.23719436,4865.296011335456,-7910.826143549456,-0.22576558628851187,-17047.997223719434,-0.4865296011335455,35.24543378995434,35040,31536000
12,-12634.736903207138,-0.36058039107326306,172137636.847842,4912.603791319692,-8055.7101216300725,-0.22990040301455686,-17213.763684784204,-0.4912603791319693,35.38812785388128,35040,31536000
13,-12718.117052270783,-0.3629599615374082,173121239.42325255,4940.674641074559,-8124.110162216314,-0.23185245896736056,-17312.12394232526,-0.494067464107456,35.45376712328767,35040,31536000
14,-12884.985385626751,-0.3677221856628639,175469394.26302144,5007.688192437827,-8223.03134495136,-0.23467555208194518,-17546.939426302146,-0.5007688192437827,35.55936073059361,35040,31536000
15,-13122.396780407158,-0.3744976250116198,178572784.67111892,5096.2552702944895,-8387.515093702423,-0.2393697229937906,-17857.278467111893,-0.509625527029449,35.77054794520548,35040,31536000
16,-13289.76250210473,-0.37927404400983816,181032593.242024,5166.455286587443,-8476.265680007054,-0.2419025593609319,-18103.259324202405,-0.5166455286587445,35.93321917808219,35040,31536000
17,-13463.862372562415,-0.3842426476187904,182696883.73702535,5213.952161444788,-8658.03637142229,-0.24709007909310188,-18269.688373702535,-0.5213952161444787,36.047374429223744,35040,31536000
18,-13618.17087114494,-0.38864642897103135,184632533.87486497,5269.193318346603,-8773.088354803376,-0.25037352610740227,-18463.2533874865,-0.5269193318346604,36.25,35040,31536000
