episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-16865.298772038128,-0.48131560422483244,224251010.5174335,6399.857606091138,-11305.496492332908,-0.32264544784055105,-22425.10105174335,-0.6399857606091138,34.78310502283105,35040,31536000
1,-16788.544916961622,-0.4791251403242472,225078462.0806223,6423.472091341961,-11069.243625861012,-0.3159030715142983,-22507.846208062223,-0.6423472091341959,34.83162100456621,35040,31536000
2,-16721.883498688825,-0.4772227025881514,225934155.17253244,6447.892556293734,-10850.351480124405,-0.3096561495469294,-22593.415517253245,-0.6447892556293734,34.98287671232877,35040,31536000
3,-16699.48799023947,-0.47658356136528174,227427515.2596713,6490.511280241761,-10656.224454511812,-0.30411599470638734,-22742.75152596713,-0.6490511280241761,35.21974885844749,35040,31536000
4,-16668.46026441324,-0.4756980669067705,228610510.93657467,6524.27257239083,-10475.869435169005,-0.2989688765744579,-22861.051093657465,-0.6524272572390829,35.47945205479452,35040,31536000
5,-16694.832570460952,-0.4764507012117852,229748484.5337598,6556.748987835611,-10414.81668754592,-0.29722650364000913,-22974.84845337598,-0.6556748987835611,35.40525114155251,35040,31536000
6,-16762.86278246838,-0.4783922026960154,231235032.44838572,6599.173300467629,-10402.222320098188,-0.2968670753452679,-23123.503244838572,-0.6599173300467629,35.5222602739726,35040,31536000
7,-16778.63593493889,-0.4788423497414067,232299768.50155678,6629.559603354931,-10327.2950197221,-0.2947287391473202,-23229.976850155683,-0.6629559603354932,35.89041095890411,35040,31536000
8,-16803.302195174376,-0.4795462955243829,233200103.75366858,6655.254102559034,-10286.594014981896,-0.2935671807928623,-23320.01037536686,-0.6655254102559035,35.901826484018265,35040,31536000
9,-16823.03147719758,-0.4801093458104332,234574783.92362761,6694.485842569281,-10188.584562032398,-0.2907701073639383,-23457.478392362762,-0.6694485842569281,36.041666666666664,35040,31536000
10,-16862.166702358303,-0.48122621867460913,235911716.50799578,6732.640311301249,-10133.16175391703,-0.2891884062190933,-23591.171650799577,-0.6732640311301249,36.047374429223744,35040,31536000
11,-16851.513422633467,-0.4809221867189916,236493146.8613691,6749.233643303913,-10053.712159130024,-0.286921009107592,-23649.314686136913,-0.6749233643303914,36.01598173515982,35040,31536000
12,-16882.980154589095,-0.4818202098912413,238029131.50564975,6793.068821508269,-9963.047158613217,-0.28433353763165575,-23802.91315056497,-0.6793068821508268,36.141552511415526,35040,31536000
13,-16906.929124035087,-0.4825036850466634,238561347.66042897,6808.257638710872,-9957.723482027277,-0.28418160622223965,-23856.1347660429,-0.6808257638710873,36.381278538812786,35040,31536000
14,-16933.065461904716,-0.4832495851000204,239243556.4140111,6827.727066609906,-9941.775282408325,-0.2837264635390504,-23924.355641401104,-0.6827727066609904,36.56963470319635,35040,31536000
15,-16974.488881652098,-0.4844317603211215,240271616.09769568,6857.066669454785,-9921.816153534633,-0.28315685369676463,-24027.161609769566,-0.6857066669454784,36.64668949771689,35040,31536000
16,-17025.87244290756,-0.48589818615603764,241060261.22319397,6879.57366504549,-9945.718763495719,-0.28383900580752625,-24106.0261223194,-0.6879573665045491,36.7865296803653,35040,31536000
17,-16988.604919400612,-0.48483461527969784,240782220.72445443,6871.638719305206,-9898.987766355787,-0.2825053586288752,-24078.222072445446,-0.6871638719305208,36.99200913242009,35040,31536000
18,-16959.46313128611,-0.4840029432444666,240866519.0254769,6874.044492736213,-9832.27436002453,-0.28060143721531194,-24086.65190254769,-0.6874044492736212,37.074771689497716,35040,31536000
