episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-9904.057836134447,-0.28265005240109725,121105010.7746461,3456.193229870037,-7697.6145948042795,-0.21968078181519063,-12110.50107746461,-0.3456193229870037,27.46860730593607,35040,31536000
1,-10329.782726437315,-0.2947997353435307,126759665.96638803,3617.570375753083,-7983.598856235825,-0.227842433111753,-12675.966596638806,-0.36175703757530836,28.022260273972606,35040,31536000
2,-10692.332714857286,-0.30514648158839286,132225463.42489684,3773.5577461443163,-8162.119087224887,-0.2329371885623541,-13222.546342489684,-0.37735577461443165,28.584474885844745,35040,31536000
3,-11038.931553595607,-0.3150380009587787,136992058.26719394,3909.5907039724298,-8378.65728047182,-0.2391169315203145,-13699.205826719395,-0.39095907039724304,28.884132420091323,35040,31536000
4,-11314.688054089635,-0.3229077641007316,140956659.51707178,4022.7357168114095,-8533.710156472094,-0.24354195652032232,-14095.665951707177,-0.40227357168114086,28.921232876712327,35040,31536000
5,-11574.78023160137,-0.3303304860616829,144035318.2748411,4110.596982729484,-8746.028635718632,-0.24960127385041758,-14403.53182748411,-0.41105969827294836,29.375,35040,31536000
6,-11838.59479460862,-0.33785944048540584,147281235.08667755,4203.231594939428,-8949.066080549484,-0.25539572147686884,-14728.123508667755,-0.4203231594939428,29.706050228310506,35040,31536000
7,-12069.122574638499,-0.34443842964150967,150441495.9022,4293.421686706622,-9094.09555905699,-0.259534690612357,-15044.149590220004,-0.4293421686706622,30.06563926940639,35040,31536000
8,-12322.804603462635,-0.35167821356913914,153758775.85343432,4388.092918191619,-9269.731621581834,-0.2645471353191163,-15375.877585343434,-0.43880929181916195,30.2796803652968,35040,31536000
9,-12544.979978512465,-0.35801883500320963,156097990.59977797,4454.851329902339,-9480.160897047132,-0.27055253701618526,-15609.799059977799,-0.44548513299023396,30.66495433789954,35040,31536000
10,-12798.531444328823,-0.36525489281760337,159512665.94766375,4552.302110378532,-9645.796293891271,-0.27527957459735364,-15951.266594766377,-0.4552302110378532,30.953196347031962,35040,31536000
11,-13052.753962654704,-0.3725101016739356,163168060.0474685,4656.622718249672,-9788.701920562558,-0.27935793152290406,-16316.806004746853,-0.4656622718249673,31.227168949771688,35040,31536000
12,-13300.328821244437,-0.37957559421359693,166454540.51136976,4750.414968931786,-9955.203591351901,-0.28410969153401544,-16645.454051136978,-0.4750414968931786,31.48401826484018,35040,31536000
13,-13467.0086193155,-0.3843324377658533,168341462.84011185,4804.265492012324,-10099.870954619815,-0.2882383263304742,-16834.146284011185,-0.48042654920123246,31.409817351598175,35040,31536000
14,-13613.104364072258,-0.3885018368742083,170596712.86166978,4868.627650161809,-10166.537441977533,-0.2901409087322355,-17059.671286166977,-0.48686276501618087,31.72659817351598,35040,31536000
15,-13812.627574197537,-0.39419599241431325,173336885.47601756,4946.828923402328,-10291.566600793318,-0.2937090924883938,-17333.688547601756,-0.49468289234023277,31.700913242009133,35040,31536000
16,-13949.534733710832,-0.3981031602086425,175111391.15782192,4997.47120884195,-10387.93035163947,-0.2964591995330899,-17511.139115782196,-0.4997471208841951,32.02625570776256,35040,31536000
17,-14126.48552180927,-0.4031531256224107,177408523.3395658,5063.028634120029,-10512.11870966196,-0.3000033878328185,-17740.85233395658,-0.5063028634120028,32.237442922374434,35040,31536000
18,-14298.449772501433,-0.4080607811786939,179824743.0701441,5131.984676659363,-10614.425237988455,-0.30292309469145134,-17982.474307014407,-0.5131984676659362,32.3972602739726,35040,31536000
