episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-16745.06658396271,-0.47788432031857053,213705446.0129909,6098.899714982616,-12119.588566626328,-0.3458786691388792,-21370.54460129909,-0.6098899714982617,30.667808219178085,35040,31536000
1,-16771.210219223416,-0.47863042863080524,215553096.24241894,6151.629458973143,-11987.110814204936,-0.3420979113642961,-21555.309624241898,-0.6151629458973145,30.973173515981735,35040,31536000
2,-16828.406290414536,-0.48026273659858837,217890375.41515118,6218.332631710936,-11867.775039313949,-0.338692210026083,-21789.037541515117,-0.6218332631710936,31.10730593607306,35040,31536000
3,-16845.52639017902,-0.48075132392063413,219231227.76766485,6256.59896597217,-11767.930003591555,-0.3358427512440512,-21923.122776766486,-0.6256598965972171,31.51255707762557,35040,31536000
4,-16835.60494413408,-0.48046817762939725,219895516.59364972,6275.556980412378,-11681.658228903187,-0.3333806572175567,-21989.551659364974,-0.6275556980412378,31.672374429223744,35040,31536000
5,-16850.461088731034,-0.48089215435876237,221013262.49599382,6307.456121461011,-11599.59592786269,-0.3310386965714238,-22101.326249599377,-0.6307456121461009,31.874999999999996,35040,31536000
6,-16903.91815454096,-0.48241775555196803,222846738.33207878,6359.781345093573,-11523.162475874042,-0.3288573765945788,-22284.673833207882,-0.6359781345093574,32.154680365296805,35040,31536000
7,-16990.778098526713,-0.4848966352319267,224974395.21500975,6420.502146547082,-11484.116675552452,-0.3277430558091453,-22497.439521500975,-0.6420502146547082,32.47716894977169,35040,31536000
8,-16999.68412753047,-0.48515080272632616,225542156.72042948,6436.705385857006,-11445.152583017985,-0.32663106686695165,-22554.21567204295,-0.6436705385857006,32.71118721461187,35040,31536000
9,-16952.909954405597,-0.4838159233563241,225546956.24260324,6436.842358521782,-11351.124284550871,-0.3239476108604701,-22554.695624260326,-0.6436842358521783,32.81963470319635,35040,31536000
10,-17035.444880531857,-0.4861713721612973,226895931.73148227,6475.340517450978,-11381.296587915485,-0.3248086925774967,-22689.59317314823,-0.6475340517450979,32.85958904109589,35040,31536000
11,-17073.070652635204,-0.4872451670272604,227983354.49834788,6506.374272213125,-11347.805855435623,-0.32385290683320844,-22798.335449834787,-0.6506374272213125,33.07077625570776,35040,31536000
12,-17017.92891519664,-0.4856714873058402,227793885.51157653,6500.967052271019,-11256.469279235629,-0.32124626938457845,-22779.388551157655,-0.6500967052271021,33.27910958904109,35040,31536000
13,-17060.129486212973,-0.48687584150151175,229459764.6768082,6548.509265890645,-11174.282504745122,-0.318900756413959,-22945.97646768082,-0.6548509265890645,33.28481735159817,35040,31536000
14,-17135.73572927696,-0.48903355391772146,230938115.93917876,6590.69965579848,-11177.659864636042,-0.3189971422555948,-23093.811593917875,-0.659069965579848,33.39041095890411,35040,31536000
15,-17172.01252752235,-0.49006885067129996,231853215.21656075,6616.8155027557295,-11158.703533388629,-0.31845615106702707,-23185.321521656075,-0.661681550275573,33.45890410958904,35040,31536000
16,-17212.9338512958,-0.4912366966694006,232534182.51698992,6636.249501055649,-11172.449450892607,-0.3188484432332365,-23253.418251698997,-0.663624950105565,33.478881278538815,35040,31536000
17,-17172.226391607805,-0.49007495409839624,232320497.68461123,6630.151189629316,-11112.40301475449,-0.317134789233861,-23232.049768461125,-0.6630151189629316,33.34760273972603,35040,31536000
18,-17241.47338275378,-0.4920511810146626,233273275.1343935,6657.342326894792,-11155.619252068213,-0.31836812933984626,-23327.32751343935,-0.6657342326894792,33.473173515981735,35040,31536000
