episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-9430.661455844463,-0.269139881730721,127676155.53896101,3643.725900084504,-6093.707357792825,-0.1739071734529916,-12767.615553896101,-0.36437259000845035,34.04680365296804,35040,31536000
1,-9778.861918993118,-0.27907710956030585,133328688.36497521,3805.042476169384,-6224.855001488714,-0.17764997150367334,-13332.86883649752,-0.38050424761693835,34.11815068493151,35040,31536000
2,-10084.766503215618,-0.2878072632196238,138221292.94214767,3944.6716022302417,-6347.40371221647,-0.18114736621622346,-13822.129294214767,-0.39446716022302414,34.175228310502284,35040,31536000
3,-10436.005311043988,-0.2978312017992006,142873001.07184225,4077.4258296758635,-6584.710514903743,-0.18791982063081458,-14287.300107184228,-0.4077425829675864,34.45776255707763,35040,31536000
4,-10807.100662874791,-0.3084218225706276,148067695.47705305,4225.676240783478,-6807.431778044278,-0.19427602106290748,-14806.769547705306,-0.42256762407834775,34.50057077625571,35040,31536000
5,-11076.055184545345,-0.31609746531236715,151669672.9034069,4328.4724002113835,-6985.1430787499985,-0.19934769060359583,-15166.967290340692,-0.43284724002113845,34.571917808219176,35040,31536000
6,-11272.221798787294,-0.3216958275909616,154481787.5501316,4408.726813645308,-7096.264842561426,-0.2025189738173923,-15448.178755013161,-0.44087268136453084,34.60045662100457,35040,31536000
7,-11610.234929484128,-0.33134232104692146,158604706.69115543,4526.39003114028,-7359.999189852709,-0.21004563897981474,-15860.470669115546,-0.45263900311402816,34.663242009132425,35040,31536000
8,-11834.480364014686,-0.33774201952096705,161838051.51738232,4618.665853806573,-7485.155576291138,-0.21361745366127677,-16183.805151738237,-0.46186658538065745,34.811643835616444,35040,31536000
9,-12100.024677929807,-0.34532033898201503,164687644.09550726,4699.989842908312,-7731.284946308886,-0.2206416936731988,-16468.764409550728,-0.46999898429083126,34.92009132420091,35040,31536000
10,-12324.637687944387,-0.35173052762398366,167871280.98973715,4790.847060209394,-7862.147276915055,-0.22437634922702782,-16787.128098973717,-0.4790847060209394,35.26826484018265,35040,31536000
11,-12528.314196426038,-0.357543213368323,169943203.4623857,4849.9772677621495,-8062.308046613501,-0.23008869996043096,-16994.320346238575,-0.48499772677621505,35.273972602739725,35040,31536000
12,-12767.161709336246,-0.364359637823523,172309117.14044753,4917.497635286744,-8303.411704627739,-0.23696951211837153,-17230.911714044752,-0.49174976352867444,35.43949771689498,35040,31536000
13,-12943.832892136114,-0.3694016236340215,174575938.5781934,4982.190027916478,-8430.071926452887,-0.24058424447639518,-17457.593857819338,-0.49821900279164777,35.590753424657535,35040,31536000
14,-13244.47786565684,-0.37798167424819745,177803309.48940474,5074.295362140546,-8708.624782373206,-0.24853381228234037,-17780.330948940475,-0.5074295362140546,35.6906392694064,35040,31536000
15,-13418.959924858864,-0.38296118507017307,180598356.91099873,5154.062697231699,-8778.084158617852,-0.25051610041717615,-18059.835691099874,-0.5154062697231699,35.89041095890411,35040,31536000
16,-13673.700966479091,-0.3902311919657275,183682319.8279141,5242.075337554626,-8979.169950166774,-0.2562548501759924,-18368.231982791407,-0.5242075337554626,36.01027397260274,35040,31536000
17,-13802.144830504643,-0.3938968273545846,185815616.4021868,5302.957089103505,-9022.728020790606,-0.2574979457988187,-18581.561640218682,-0.5302957089103505,36.113013698630134,35040,31536000
18,-14028.871213833338,-0.4003673291619103,188645960.01081666,5383.731735468512,-9193.146426585003,-0.26236148477696924,-18864.59600108167,-0.5383731735468513,36.147260273972606,35040,31536000
