episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-16755.924540005344,-0.4781941934933032,223116783.73907652,6367.488120407435,-11200.170706103027,-0.31963957494586265,-22311.678373907653,-0.6367488120407435,34.83162100456621,35040,31536000
1,-16707.98504373014,-0.47682605718407933,224598356.1135109,6409.7704370294205,-10956.134476109186,-0.3126750706652165,-22459.835611351096,-0.6409770437029423,35.01997716894977,35040,31536000
2,-16741.971075455313,-0.47779597818080227,226395195.56041867,6461.050101610122,-10844.42259486876,-0.30948694620059247,-22639.519556041865,-0.6461050101610122,35.25684931506849,35040,31536000
3,-16778.53821910533,-0.4788395610475265,228326347.96527663,6516.162898552415,-10724.441641682988,-0.3060628322398113,-22832.634796527662,-0.6516162898552414,35.53367579908676,35040,31536000
4,-16718.37611043739,-0.4771226058914781,228789221.6254545,6529.372763283518,-10557.830058329331,-0.3013079354546042,-22878.922162545452,-0.652937276328352,35.52796803652968,35040,31536000
5,-16726.52307801969,-0.47735511067407793,230417727.0576965,6575.84837493426,-10411.273450269733,-0.2971253838547298,-23041.772705769647,-0.657584837493426,35.442351598173516,35040,31536000
6,-16719.45034329439,-0.47715326322187185,231301952.10119155,6601.083107910717,-10308.70547646962,-0.2941982156526718,-23130.195210119156,-0.6601083107910718,35.69920091324201,35040,31536000
7,-16769.776120093316,-0.47858950114421567,232894644.27216214,6646.536651602801,-10250.087812970416,-0.29252533712815115,-23289.464427216215,-0.6646536651602801,35.98458904109589,35040,31536000
8,-16759.17509504783,-0.4782869604751093,233606832.95835486,6666.861671185927,-10157.666894260177,-0.28988775383162607,-23360.68329583549,-0.6666861671185927,36.00171232876712,35040,31536000
9,-16678.241221639964,-0.47597720381392594,233049274.71831667,6650.949620956526,-10051.554971448264,-0.28685944553219933,-23304.92747183167,-0.6650949620956527,36.135844748858446,35040,31536000
10,-16673.259955710117,-0.47583504439811974,233936727.30109644,6676.276464072387,-9952.847181310593,-0.28404244238900095,-23393.67273010964,-0.6676276464072386,36.25,35040,31536000
11,-16731.468072267715,-0.4774962349391471,235254435.8039298,6713.882300340462,-9937.492564142447,-0.28360423984424793,-23525.443580392977,-0.6713882300340461,36.367009132420094,35040,31536000
12,-16776.893606871916,-0.4787926257668926,236375027.9113802,6745.862668703773,-9916.28442260581,-0.2829989846634078,-23637.502791138017,-0.6745862668703771,36.26712328767123,35040,31536000
13,-16836.98023605316,-0.4805074268280012,237924684.25159857,6790.088020878955,-9881.492046946461,-0.28200605156810676,-23792.468425159856,-0.6790088020878954,36.461187214611876,35040,31536000
14,-16858.030694216497,-0.48110818191257126,238283078.84327433,6800.316177034085,-9887.753504105556,-0.2821847461217339,-23828.30788432743,-0.6800316177034084,36.70091324200913,35040,31536000
15,-16881.87729633901,-0.48178873562611335,239058765.86275598,6822.453363663128,-9857.878006402429,-0.2813321348859141,-23905.8765862756,-0.6822453363663128,36.81792237442922,35040,31536000
16,-16912.319446773156,-0.482657518458138,240097817.8689732,6852.106674342843,-9814.857106648988,-0.28010436948199163,-24009.78178689732,-0.6852106674342843,36.906392694063925,35040,31536000
17,-16954.590236410913,-0.4838638766099005,240996786.14181948,6877.762161581606,-9809.501858639873,-0.2799515370616402,-24099.678614181947,-0.6877762161581605,36.90068493150685,35040,31536000
18,-17023.89047024059,-0.48584162300914924,242490343.3708489,6920.38651172514,-9798.746603396283,-0.2796445948457843,-24249.034337084893,-0.6920386511725141,37.12614155251141,35040,31536000
