episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-9876.962588786271,-0.28187678620965384,121305573.86802895,3461.917062443749,-7623.367790769644,-0.21756186617493276,-12130.557386802895,-0.34619170624437484,27.24029680365297,35040,31536000
1,-10170.910684537605,-0.2902657158829225,125200798.08894981,3573.0821372417186,-7821.741560180227,-0.22322321804167314,-12520.079808894981,-0.3573082137241718,27.93949771689498,35040,31536000
2,-10598.492916674744,-0.3024684051562427,130922363.77688806,3736.3688292490883,-8104.749455660683,-0.23129992738757657,-13092.236377688805,-0.3736368829249088,28.376141552511413,35040,31536000
3,-10967.87998015717,-0.31301027340631193,135960815.01414695,3880.1602458375273,-8339.678458899642,-0.23800452222887106,-13596.081501414694,-0.38801602458375267,28.687214611872147,35040,31536000
4,-11275.014202133038,-0.32177551946726707,140320634.54509932,4004.5843192094553,-8517.964949756137,-0.24309260701358837,-14032.063454509931,-0.40045843192094555,29.012557077625573,35040,31536000
5,-11487.561272564435,-0.3278413605183914,143341184.0649529,4090.787216465551,-8641.004138633582,-0.24660399939022778,-14334.118406495292,-0.4090787216465551,29.286529680365298,35040,31536000
6,-11769.523861180878,-0.3358882380473995,147036916.1643197,4196.259022954329,-8835.356105929784,-0.252150573799366,-14703.691616431972,-0.419625902295433,29.57191780821918,35040,31536000
7,-12095.920708007745,-0.34520321655273245,151653861.75896215,4328.021168920152,-9026.455240119272,-0.25760431621344954,-15165.386175896214,-0.43280211689201525,29.76598173515982,35040,31536000
8,-12306.162908166954,-0.3512032793426642,154547327.77930933,4410.597253975723,-9157.593038402974,-0.2613468332877561,-15454.732777930936,-0.4410597253975724,30.034246575342465,35040,31536000
9,-12556.734761313792,-0.3583543025489096,157426145.57967323,4492.755296223551,-9370.85496466026,-0.2674330754754641,-15742.614557967321,-0.44927552962235506,30.37956621004566,35040,31536000
10,-12826.60564329158,-0.36605609712590126,160633043.86614284,4584.276366042889,-9589.906899968872,-0.2736845576475135,-16063.304386614285,-0.458427636604289,30.65068493150685,35040,31536000
11,-12965.633143404752,-0.37002377692365157,162993165.3464646,4651.631431120565,-9631.949752163042,-0.2748844107352466,-16299.316534646463,-0.4651631431120566,30.839041095890412,35040,31536000
12,-13247.35448083854,-0.3780637694303236,166735015.20164648,4758.419383608632,-9821.20744151243,-0.28028560049978396,-16673.50152016465,-0.4758419383608633,31.08447488584475,35040,31536000
13,-13444.930076406414,-0.3837023423631967,168877499.43650916,4819.563340083024,-10002.11020916191,-0.28544835071809105,-16887.749943650917,-0.4819563340083024,31.170091324200914,35040,31536000
14,-13664.989729495031,-0.38998258360431026,171743651.5069186,4901.359917434892,-10155.614308298202,-0.2898291754651313,-17174.36515069186,-0.4901359917434892,31.34132420091324,35040,31536000
15,-13859.719677828432,-0.3955399451435055,174031181.1875379,4966.643298731105,-10316.32123690307,-0.2944155604139004,-17403.11811875379,-0.4966643298731105,31.80650684931507,35040,31536000
16,-14013.124194006647,-0.3999179279111486,176078981.5466282,5025.085089801033,-10418.350233350473,-0.29732734684219386,-17607.89815466282,-0.5025085089801034,31.817922374429227,35040,31536000
17,-14162.389451555113,-0.404177781151687,177864298.2046607,5076.035907667258,-10538.349082644154,-0.30075197153664823,-17786.42982046607,-0.5076035907667258,31.934931506849317,35040,31536000
18,-14330.60952596576,-0.4089785823620365,180093355.02422103,5139.650542928683,-10651.883549509415,-0.3039921104312048,-18009.335502422102,-0.5139650542928682,32.18607305936073,35040,31536000
