episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-8990.85890589612,-0.2565884390952089,118519719.41231701,3382.412083684846,-6129.745870560543,-0.17493566982193332,-11851.971941231699,-0.33824120836848454,32.21175799086758,35040,31536000
1,-11902.879784528104,-0.33969405777762857,118286649.29290543,3375.760539181091,-11977.094639765664,-0.34181206163714795,-11828.664929290544,-0.33757605391810913,40.67351598173516,35040,31536000
2,-9454.788293018159,-0.2698284330199246,129207349.36799067,3687.424354109323,-5988.84164923725,-0.17091443062891695,-12920.734936799068,-0.3687424354109323,31.91495433789954,35040,31536000
3,-9452.929032179483,-0.26977537192293044,133107450.47611162,3798.7286094780716,-5595.113016747802,-0.1596778828980537,-13310.745047611163,-0.37987286094780714,28.807077625570777,35040,31536000
4,-10096.912079035066,-0.28815388353410576,135227289.5500629,3859.2262999447175,-6671.095203063844,-0.19038513707373983,-13522.72895500629,-0.38592262999447174,31.989155251141554,35040,31536000
5,-12269.946695181095,-0.35016971162046506,134360179.42069134,3834.480006298269,-11103.875448293056,-0.3168914226111032,-13436.017942069135,-0.3834480006298269,40.72488584474886,35040,31536000
6,-10340.40699050112,-0.29510293922663017,142552448.37735972,4068.2776363401745,-6425.569143266273,-0.18337811481924296,-14255.244837735969,-0.40682776363401735,32.231735159817354,35040,31536000
7,-10982.285203790472,-0.3134213813867144,143588967.35967132,4097.858657524866,-7605.67367161381,-0.21705689702094208,-14358.896735967133,-0.40978586575248666,37.011986301369866,35040,31536000
8,-11005.892155379159,-0.3140950957585376,150461217.66200408,4293.984522317468,-6965.662544557917,-0.19879173928532867,-15046.121766200406,-0.4293984522317467,32.32591324200913,35040,31536000
9,-11234.697219405,-0.3206249206451198,150719300.7278729,4301.349906617377,-7397.464366022711,-0.21111485062850202,-15071.930072787292,-0.43013499066173777,34.67180365296804,35040,31536000
10,-11326.993168945573,-0.3232589374699079,154639379.11186188,4413.224289722086,-7190.048426704952,-0.20519544596760708,-15463.937911186193,-0.4413224289722087,32.99086757990868,35040,31536000
11,-11530.942658552802,-0.3290794137714841,157553878.20688277,4496.40063375807,-7306.49749641733,-0.20851876416716122,-15755.387820688276,-0.449640063375807,33.74143835616438,35040,31536000
12,-11842.681745289412,-0.33797607720574807,160666621.79315662,4585.234640215657,-7618.701311263165,-0.2174286903899305,-16066.662179315661,-0.4585234640215657,34.07534246575342,35040,31536000
13,-12032.785184923752,-0.3434014036793308,161653358.93479636,4613.394946769303,-7900.234476367867,-0.22546331268173136,-16165.335893479634,-0.4613394946769302,35.38527397260274,35040,31536000
14,-12279.94893676128,-0.3504551637203562,165464407.18683845,4722.157739350412,-8013.457154838716,-0.2286945535056711,-16546.440718683843,-0.4722157739350412,34.66038812785388,35040,31536000
15,-12458.31920661165,-0.35554563945809503,167485294.0557718,4779.83145136335,-8168.109007646118,-0.23310813377985495,-16748.52940557718,-0.47798314513633505,35.09703196347032,35040,31536000
16,-12605.559726381849,-0.35974770908624,170710957.18557516,4871.888047533537,-8140.023734206179,-0.23230661341912612,-17071.095718557517,-0.4871888047533538,33.72431506849315,35040,31536000
17,-13007.320697637813,-0.37121349022938965,171698106.45738953,4900.0601157930805,-8844.830749536668,-0.25242096887947113,-17169.810645738955,-0.49000601157930807,35.25684931506849,35040,31536000
18,-12806.726951935409,-0.36548878287486897,172409371.01372668,4920.358761807268,-8372.516802498149,-0.2389416895690111,-17240.93710137267,-0.4920358761807269,34.76883561643835,35040,31536000
19,-12978.814718086245,-0.37039996341570336,173683336.515366,4956.716224753595,-8589.295784635893,-0.24512830435604718,-17368.3336515366,-0.49567162247535956,35.32534246575342,35040,31536000
20,-13122.0098943,-0.37448658374,175576766913,5010.75248038,-8686.34309743,-0.24789791944,-17557.6766913,-0.50107524803,35.3824200913,35040,31536000
21,-13265.205070601047,-0.3785732040696646,177470197.3098276,5064.788736011062,-8783.390410219334,-0.250667534538223,-17747.01973098276,-0.5064788736011062,35.43949771689498,35040,31536000
22,-13826.72914902057,-0.39459843461816696,178208676.01547992,5085.864041537669,-9832.590696493146,-0.28061046508256693,-17820.867601547994,-0.508586404153767,39.28938356164384,35040,31536000
