episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-8579.526283269279,-0.24484949438553877,118456686.41460812,3380.6131967639303,-5313.3839250777455,-0.1516376690946845,-11845.668641460812,-0.338061319676393,29.517694063926943,35040,31536000
1,-9075.008250625055,-0.25898996149044107,124488935.04548164,3552.7664111153435,-5701.1229967019435,-0.1627032818693477,-12448.893504548163,-0.35527664111153434,30.30821917808219,35040,31536000
2,-9430.87938204988,-0.26914610108589837,128452875.04201849,3665.8925525690206,-6016.47125989791,-0.1717029469148947,-12845.287504201848,-0.36658925525690206,30.90753424657534,35040,31536000
3,-9770.278693468686,-0.27883215449396936,131783829.96267924,3760.954051446325,-6362.174390669452,-0.18156890384330626,-13178.382996267925,-0.3760954051446326,31.46974885844749,35040,31536000
4,-10155.017478042142,-0.289812142638189,136106964.7776492,3884.3311865767464,-6699.338478319366,-0.19119116661870336,-13610.69647776492,-0.38843311865767466,31.766552511415526,35040,31536000
5,-10455.968612296076,-0.2984009307162122,139364058.34014285,3977.2847699812455,-6975.531390577861,-0.1990733844342997,-13936.405834014287,-0.39772847699812464,31.94634703196347,35040,31536000
6,-10756.167254376121,-0.30696824356096236,142718804.69005135,4073.0252480037484,-7240.454039747106,-0.20663396232154985,-14271.880469005137,-0.4073025248003749,32.23458904109589,35040,31536000
7,-11113.817271318478,-0.31717515043717115,146654254.13518876,4185.338302944885,-7562.2091291180795,-0.21581647057985387,-14665.425413518878,-0.41853383029448854,32.779680365296805,35040,31536000
8,-11352.538422881302,-0.3239879686895349,149315622.77937183,4261.290604434127,-7773.514567825414,-0.2218468769356568,-14931.562277937188,-0.4261290604434129,32.86244292237443,35040,31536000
9,-11602.860070980201,-0.3311318513407592,152142073.97494203,4341.954165951542,-7991.512744466201,-0.2280682860863642,-15214.207397494205,-0.43419541659515426,33.23915525114155,35040,31536000
10,-11823.821204323269,-0.3374378197580842,154802949.88966772,4417.892405527047,-8167.347419679765,-0.23308639896346361,-15480.294988966773,-0.4417892405527047,33.49885844748858,35040,31536000
11,-11989.858754303405,-0.34217633431231176,156663711.32303816,4470.996327712276,-8313.34637630299,-0.23725303585339585,-15666.371132303817,-0.44709963277122766,33.701484018264836,35040,31536000
12,-12161.87210680038,-0.34708539117580994,159338128.2979501,4547.3210130693515,-8389.931383805746,-0.23943868104468452,-15933.81282979501,-0.4547321013069352,33.76141552511416,35040,31536000
13,-12325.820281134931,-0.3517642774296499,161136295.29234105,4598.638564279139,-8538.011033035751,-0.24366469843138558,-16113.629529234107,-0.459863856427914,33.864155251141554,35040,31536000
14,-12583.644042718814,-0.3591222614931168,163496106.91994774,4665.984786528189,-8817.677393442847,-0.2516460443334146,-16349.610691994774,-0.4665984786528189,34.22659817351598,35040,31536000
15,-12742.166824497755,-0.363646313484525,165802647.7271898,4731.810722807928,-8904.068876276528,-0.2541115546882571,-16580.26477271898,-0.4731810722807928,34.36643835616439,35040,31536000
16,-12891.48026953463,-0.3679075419387737,167998429.63894826,4794.475731705144,-8983.117575174432,-0.2563675107070329,-16799.842963894826,-0.47944757317051445,34.60331050228311,35040,31536000
17,-13130.68198530807,-0.3747340749231755,170462564.98564506,4864.799229042382,-9215.107472051635,-0.2629882269421129,-17046.256498564504,-0.48647992290423814,34.820205479452056,35040,31536000
18,-13295.459034401772,-0.3794366162785894,172535729.80559924,4923.964891712307,-9337.34508824362,-0.266476743385948,-17253.572980559922,-0.49239648917123063,34.70319634703196,35040,31536000
