episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-16425.954832641197,-0.46877724978998847,201826312.68341735,5759.883352837253,-12669.27839694066,-0.3615661642962517,-20182.631268341738,-0.5759883352837254,38.31335616438356,35040,31536000
1,-16190.655231256547,-0.4620620785175955,202359277.98447493,5775.093549785243,-12145.3826640656,-0.34661480205666667,-20235.927798447497,-0.5775093549785245,37.80251141552512,35040,31536000
2,-16103.010531793832,-0.4595608028479975,203179287.10301104,5798.495636501457,-11888.092353286556,-0.3392720420458492,-20317.928710301105,-0.5798495636501457,37.47716894977169,35040,31536000
3,-15985.390728099937,-0.4562040732905233,204953762.7018112,5849.137063407854,-11475.40518601876,-0.3274944402402614,-20495.376270181117,-0.5849137063407853,37.083333333333336,35040,31536000
4,-16042.113605584524,-0.4578228768717044,206985515.9942385,5907.120890246532,-11385.675611745193,-0.3249336647187555,-20698.55159942385,-0.5907120890246532,36.95205479452055,35040,31536000
5,-15963.878560271745,-0.4555901415602667,208559417.05136657,5952.038157858635,-11071.815415406832,-0.3159764673346699,-20855.941705136654,-0.5952038157858635,36.46689497716895,35040,31536000
6,-15967.480498969588,-0.4556929366144289,210591983.46825665,6010.0451903041285,-10875.76265111351,-0.3103813541984449,-21059.198346825666,-0.6010045190304129,36.26712328767123,35040,31536000
7,-15969.76486177545,-0.4557581296168793,212217875.5317674,6056.446219513909,-10717.742170374157,-0.3058716372823675,-21221.787553176742,-0.605644621951391,36.113013698630134,35040,31536000
8,-16027.942700540098,-0.4574184560656421,212897082.49112883,6075.829979769658,-10766.177151967308,-0.30725391415431813,-21289.708249112882,-0.6075829979769658,35.970319634703195,35040,31536000
9,-16125.69629314472,-0.46020822754408447,214352056.89357862,6117.353221848705,-10816.186896931575,-0.30868113290329835,-21435.205689357863,-0.6117353221848705,36.06164383561644,35040,31536000
10,-16185.275243347187,-0.46190854004986265,216263790.4662795,6171.911828375557,-10744.171440066419,-0.3066258972621695,-21626.37904662795,-0.6171911828375557,35.63070776255708,35040,31536000
11,-16196.252835256728,-0.4622218274902034,218659356.78559303,6240.278447077427,-10526.569991954148,-0.300415810272664,-21865.935678559305,-0.6240278447077428,35.52796803652968,35040,31536000
12,-16147.409940666968,-0.46082790926560985,219730994.47438496,6270.861714451626,-10321.72043389544,-0.2945696470860571,-21973.0994474385,-0.6270861714451627,35.265410958904106,35040,31536000
13,-16098.959179569229,-0.45944518206533186,219935426.51404178,6276.695962158727,-10204.375707734278,-0.291220767914791,-21993.54265140418,-0.6276695962158727,35.279680365296805,35040,31536000
14,-16151.103472555804,-0.46093331828070216,221442780.36435664,6319.714051494197,-10157.928908675945,-0.28989523141198476,-22144.27803643567,-0.6319714051494197,34.863013698630134,35040,31536000
15,-16175.194455921668,-0.46162084634479644,222675284.8614861,6354.888266594923,-10082.86042569473,-0.2877528660301007,-22267.52848614861,-0.6354888266594924,34.87157534246575,35040,31536000
16,-16258.714047855798,-0.4640043963429166,224366406.8156104,6403.1508794409365,-10080.787414150553,-0.2876937047417395,-22436.640681561043,-0.6403150879440936,34.957191780821915,35040,31536000
17,-16307.353466908779,-0.46539250761725964,226030277.50615287,6450.635773577422,-10011.679183202272,-0.2857214378767772,-22603.027750615285,-0.6450635773577421,34.99714611872146,35040,31536000
18,-16328.328575845406,-0.4659911123243552,226718391.33484006,6470.273725309363,-9984.818018206799,-0.28495485211777394,-22671.83913348401,-0.6470273725309363,34.9343607305936,35040,31536000
