episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-10212.016419788735,-0.29143882476566024,120093545.74257776,3427.327218680872,-8414.678265319695,-0.2401449276632333,-12009.354574257777,-0.34273272186808723,28.62442922374429,35040,31536000
1,-10546.557972995037,-0.30098624352154785,125018992.5856484,3567.8936240196463,-8591.216687425236,-0.24518312464113118,-12501.899258564841,-0.3567893624019646,29.492009132420094,35040,31536000
2,-10876.741074024101,-0.31040927722671524,129345240.0522345,3691.3595905318066,-8818.958142824753,-0.2516825954002498,-12934.524005223451,-0.3691359590531807,30.037100456621,35040,31536000
3,-11294.371125847465,-0.32232794308925417,134989401.12834567,3852.437246813518,-9089.802138860363,-0.25941216149715646,-13498.940112834567,-0.3852437246813518,30.425228310502284,35040,31536000
4,-11660.150598323953,-0.33276685497499864,139497685.47605294,3981.0983297960315,-9370.532649042614,-0.2674238769703942,-13949.768547605294,-0.3981098329796031,30.682077625570773,35040,31536000
5,-11942.58436699468,-0.34082717942336416,142922418.03567088,4078.8361311549907,-9592.926930422274,-0.2737707457312293,-14292.241803567089,-0.4078836131154991,30.953196347031962,35040,31536000
6,-12158.647318082418,-0.3469933595343156,146200390.58150804,4172.385575956279,-9697.255578014032,-0.2767481614730032,-14620.039058150805,-0.417238557595628,31.021689497716892,35040,31536000
7,-12332.901112906731,-0.3519663559619501,148426510.5005211,4235.916395562816,-9823.151175761353,-0.2803410723676185,-14842.651050052109,-0.42359163955628165,31.0587899543379,35040,31536000
8,-12531.99712661593,-0.35764831982351397,151474699.7081855,4322.908096694791,-9916.524282413315,-0.2830058299775489,-15147.469970818547,-0.4322908096694791,31.110159817351597,35040,31536000
9,-12796.095597690983,-0.36518537664643214,154803187.6437358,4417.899190745885,-10111.87243100839,-0.288580834218276,-15480.31876437358,-0.4417899190745885,31.58961187214612,35040,31536000
10,-13024.976662940127,-0.3717173705176977,157357058.27472872,4490.783626561893,-10314.247498407381,-0.2943563783792061,-15735.705827472873,-0.44907836265618933,31.912100456621005,35040,31536000
11,-13294.465293957655,-0.37940825610609746,161184087.78261957,4600.002505211745,-10470.521809653352,-0.2988162616910203,-16118.40877826196,-0.46000025052117466,32.157534246575345,35040,31536000
12,-13507.851197678076,-0.3854980364634154,163610335.7810182,4669.244742608967,-10654.66881725433,-0.3040715986659341,-16361.033578101818,-0.46692447426089667,32.31164383561644,35040,31536000
13,-13674.944217521685,-0.3902666728744773,166189495.3318339,4742.850894173342,-10730.938901859974,-0.3062482563316203,-16618.94953318339,-0.47428508941733416,32.45719178082192,35040,31536000
14,-13860.547781700188,-0.3955635782448684,168481734.74037284,4808.268685512923,-10872.922089363086,-0.3103002879384442,-16848.17347403729,-0.4808268685512925,32.41723744292238,35040,31536000
15,-14046.88489837983,-0.4008814183327577,171683530.73524475,4899.644141987578,-10925.416723235187,-0.3117984224667576,-17168.353073524475,-0.48996441419875786,32.73687214611872,35040,31536000
16,-14240.223589696643,-0.40639907504842016,173978036.17586964,4965.126603192627,-11082.643561806324,-0.31628548977757776,-17397.803617586967,-0.4965126603192628,32.993721461187214,35040,31536000
17,-14449.244455613167,-0.41236428240905154,176612197.71282026,5040.302446142131,-11237.269139944301,-0.3206983202038899,-17661.219771282027,-0.5040302446142131,32.93093607305936,35040,31536000
18,-14501.891607705562,-0.41386676962630026,176893516.07267383,5048.330938147084,-11314.431608143734,-0.3229004454378919,-17689.351607267385,-0.5048330938147084,33.125,35040,31536000
