episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-17064.31160809269,-0.48699519429488264,203237817.08627456,5800.1660127361465,-13804.84150755792,-0.3939737873161507,-20323.78170862746,-0.5800166012736147,35.12842465753425,35040,31536000
1,-17107.756600335935,-0.4882350627949753,205818639.35434094,5873.819616276854,-13633.649265237782,-0.3890881639622655,-20581.863935434096,-0.5873819616276854,35.01141552511415,35040,31536000
2,-17125.551175489294,-0.48874289884387256,206335557.27666914,5888.571840087589,-13617.546623311675,-0.38862861367898616,-20633.555727666913,-0.588857184008759,35.54794520547945,35040,31536000
3,-17125.35467004327,-0.48873729081173717,207390803.72972757,5918.687321053869,-13511.628967113786,-0.38560584951808746,-20739.08037297276,-0.5918687321053869,35.659246575342465,35040,31536000
4,-17198.249592440174,-0.49081762535502776,208848588.05549395,5960.290755008389,-13511.64037933095,-0.3856061752092166,-20884.858805549393,-0.5960290755008388,36.06164383561644,35040,31536000
5,-17148.78862007201,-0.4894060679244295,209630616.22242653,5982.608910457378,-13334.515617901368,-0.38055124480312125,-20963.061622242658,-0.598260891045738,36.1101598173516,35040,31536000
6,-17201.0317315692,-0.490897024302774,209964570.90484574,5992.139580617744,-13405.606372653818,-0.38258009054377334,-20996.457090484582,-0.5992139580617746,36.65810502283105,35040,31536000
7,-17209.7533451998,-0.4911459288013641,211695768.2979415,6041.545898913856,-13249.929860605444,-0.37813726771134254,-21169.57682979415,-0.6041545898913856,36.92922374429224,35040,31536000
8,-17251.221271032256,-0.492329374173295,212809153.24066764,6073.320583352387,-13221.52721799775,-0.3773266900113513,-21280.91532406677,-0.6073320583352388,36.738013698630134,35040,31536000
9,-17250.250642489864,-0.49230167358703947,213375937.32106495,6089.495928112584,-13162.907552873237,-0.3756537543628207,-21337.593732106496,-0.6089495928112585,37.02054794520548,35040,31536000
10,-17305.95821734146,-0.4938915016364572,213852684.22602412,6103.101718779227,-13226.64801208051,-0.3774728313949917,-21385.26842260241,-0.6103101718779227,37.27454337899543,35040,31536000
11,-17345.75955371547,-0.4950273845238433,214885296.9439534,6132.571259816022,-13202.989413035599,-0.37679764306608443,-21488.529694395344,-0.6132571259816023,37.48858447488585,35040,31536000
12,-17349.88325763707,-0.4951450701380442,216158005.21591026,6168.892842919813,-13083.965993683112,-0.3734008559841071,-21615.800521591027,-0.6168892842919814,37.679794520547944,35040,31536000
13,-17354.716819406447,-0.49528301425246707,216738174.45618978,6185.450184251991,-13035.61619319392,-0.37202101007973515,-21673.817445618977,-0.6185450184251992,37.62842465753425,35040,31536000
14,-17440.269572207522,-0.4977245882479316,217659797.80904084,6211.7522205776495,-13114.55936351095,-0.3742739544380979,-21765.979780904087,-0.621175222057765,37.79109589041096,35040,31536000
15,-17474.038858394822,-0.49868832358432713,218450934.84193754,6234.330332247076,-13102.98423259589,-0.37394361394394665,-21845.09348419376,-0.6234330332247078,38.26769406392694,35040,31536000
16,-17461.996270156233,-0.4983446424131345,218983114.3924314,6249.5181048068325,-13025.681101069324,-0.37173747434558574,-21898.31143924314,-0.6249518104806833,38.0593607305936,35040,31536000
17,-17561.466266147298,-0.5011833980064868,220168580.2569882,6283.349893178887,-13106.074506595776,-0.37403180669508496,-22016.858025698817,-0.6283349893178887,38.43607305936073,35040,31536000
18,-17554.278688070288,-0.5009782730613667,220717932.73588988,6299.027760727451,-13036.76410255159,-0.3720537700499883,-22071.793273588988,-0.6299027760727451,38.37043378995434,35040,31536000
