episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-17537.868645651783,-0.5005099499329847,214279837.00730753,6115.292152035032,-13647.753590572815,-0.38949068466246617,-21427.983700730754,-0.6115292152035032,36.17009132420092,35040,31536000
1,-17468.094427317537,-0.49851867657869686,214848776.1176448,6131.528998791233,-13451.311242870594,-0.38388445327827037,-21484.87761176448,-0.6131528998791234,36.46974885844749,35040,31536000
2,-17432.651762357782,-0.49750718499879515,215576115.48796806,6152.2864009123305,-13307.691975918757,-0.37978572990635723,-21557.611548796805,-0.615228640091233,36.769406392694066,35040,31536000
3,-17428.95031241053,-0.497401550011716,217218815.21568558,6199.167100904268,-13136.019103252494,-0.374886389933005,-21721.88152156856,-0.6199167100904269,37.02625570776256,35040,31536000
4,-17351.350609486057,-0.49518694661775275,217912943.45733422,6218.97669684173,-12911.40687323869,-0.36847622355133247,-21791.29434573342,-0.6218976696841729,37.04908675799087,35040,31536000
5,-17319.52993287015,-0.49427882228510706,218336354.15123913,6231.060335366414,-12805.424450616389,-0.3654516110335727,-21833.635415123914,-0.6231060335366414,37.303082191780824,35040,31536000
6,-17318.179983958424,-0.49424029634584543,220253259.08338407,6285.766526352285,-12611.034059578435,-0.3599039400564622,-22025.325908338407,-0.6285766526352285,37.2060502283105,35040,31536000
7,-17400.131899527096,-0.49657910672166367,221388940.85443696,6318.177535800141,-12661.369713610498,-0.3613404598633133,-22138.8940854437,-0.6318177535800142,37.58561643835616,35040,31536000
8,-17376.679595129615,-0.49590980579707805,221425518.13707843,6319.2214080216445,-12610.807376551387,-0.35989747079199164,-22142.551813707847,-0.6319221408021646,37.5884703196347,35040,31536000
9,-17318.338436147602,-0.49424481838320783,222154805.49039912,6340.034403264815,-12421.196323255293,-0.3544861964399342,-22215.480549039916,-0.6340034403264816,37.48858447488585,35040,31536000
10,-17291.97250120114,-0.493492365901859,223142838.65365738,6368.231696736797,-12269.661137036543,-0.3501615621300383,-22314.28386536574,-0.6368231696736798,37.468607305936075,35040,31536000
11,-17326.343136691918,-0.49447326303344513,223038607.50676507,6365.257063549231,-12348.825522707331,-0.3524208197119672,-22303.860750676507,-0.6365257063549231,37.86244292237443,35040,31536000
12,-17321.67890217469,-0.49434015131777087,224127642.23301896,6396.336821718578,-12230.593581047486,-0.34904662046368395,-22412.7642233019,-0.6396336821718579,37.73401826484018,35040,31536000
13,-17310.830891937912,-0.49403056198452944,224698641.99523684,6412.632477033015,-12151.797584352134,-0.34679787626575725,-22469.86419952369,-0.6412632477033017,37.78538812785388,35040,31536000
14,-17384.53363952842,-0.4961339508997837,225425823.4865272,6433.38537347395,-12226.484930404122,-0.34892936445217243,-22542.582348652722,-0.6433385373473951,38.03652968036529,35040,31536000
15,-17336.03095363351,-0.4947497418274404,226238990.14524457,6456.592184510404,-12048.162892742568,-0.3438402652038404,-22623.89901452446,-0.6456592184510406,38.04509132420091,35040,31536000
16,-17383.42110981906,-0.4961022006226901,226447486.53600723,6462.542423972809,-12122.093566037396,-0.3459501588480992,-22644.748653600724,-0.6462542423972809,38.025114155251146,35040,31536000
17,-17369.078321375957,-0.4956928744684919,227139428.47947186,6482.289625555703,-12024.213794804726,-0.3431567863814134,-22713.942847947186,-0.6482289625555704,37.859589041095894,35040,31536000
18,-17455.79559780536,-0.49816768258576943,227661177.3416059,6497.179718653137,-12145.473461450134,-0.34661739330622526,-22766.11773416059,-0.6497179718653137,38.164954337899545,35040,31536000
