episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-20279.169503325196,-0.5787434218985501,202791695.03325197,5787.4342189855015,-12349.367063067093,-0.3524362746309102,-20279.169503325196,-0.5787434218985501,38.28196347031964,35040,31536000
1,-20282.82791452807,-0.5788478286109608,202828279.14528066,5788.478286109608,-12202.967275191148,-0.3482581984928981,-20282.82791452807,-0.5788478286109608,38.4189497716895,35040,31536000
2,-20336.18076771839,-0.5803704556997258,203361807.6771839,5803.704556997257,-12045.94903420909,-0.3437770843096202,-20336.18076771839,-0.5803704556997258,38.04509132420091,35040,31536000
3,-20539.014658382683,-0.5861590941319259,205390146.58382684,5861.590941319259,-11734.020400058735,-0.33487501141720133,-20539.014658382683,-0.5861590941319259,37.674086757990864,35040,31536000
4,-20854.602158889316,-0.5951655867262933,208546021.58889315,5951.655867262933,-11470.25258665518,-0.3273473911716661,-20854.602158889316,-0.5951655867262933,37.42579908675799,35040,31536000
5,-20965.649061417455,-0.5983347334879411,209656490.61417454,5983.3473348794105,-11256.32773445723,-0.321242229864647,-20965.649061417455,-0.5983347334879411,36.95205479452055,35040,31536000
6,-21251.46916930028,-0.6064917000371084,212514691.6930028,6064.917000371084,-10831.161486855839,-0.3091084899216849,-21251.46916930028,-0.6064917000371084,36.66381278538813,35040,31536000
7,-21315.83675042603,-0.6083286743843046,213158367.5042603,6083.286743843045,-10710.753666984685,-0.30567219369248533,-21315.83675042603,-0.6083286743843046,36.29851598173516,35040,31536000
8,-21483.937068933756,-0.6131260579033606,214839370.68933755,6131.260579033606,-10626.502850079918,-0.30326777540182415,-21483.937068933756,-0.6131260579033606,36.18721461187215,35040,31536000
9,-21620.957355747327,-0.6170364542165333,216209573.55747327,6170.364542165333,-10381.163454601805,-0.296266080325394,-21620.957355747327,-0.6170364542165333,36.10445205479452,35040,31536000
10,-21741.699173589495,-0.6204822823512984,217416991.73589492,6204.822823512983,-10371.466726704872,-0.29598934722331255,-21741.699173589495,-0.6204822823512984,36.03595890410959,35040,31536000
11,-21878.522910981745,-0.6243870693773329,218785229.10981742,6243.870693773328,-10404.230386833575,-0.2969243831858897,-21878.522910981745,-0.6243870693773329,36.03310502283105,35040,31536000
12,-22084.23318325125,-0.6302577963256635,220842331.83251247,6302.577963256635,-10221.115621020772,-0.2916985051661179,-22084.23318325125,-0.6302577963256635,35.64783105022831,35040,31536000
13,-22230.690887002576,-0.6344375253140004,222306908.87002572,6344.375253140003,-10250.555880327682,-0.2925386952148311,-22230.690887002576,-0.6344375253140004,35.7648401826484,35040,31536000
14,-22371.4675058636,-0.6384551228842351,223714675.05863598,6384.551228842351,-10085.92065530208,-0.2878402013499452,-22371.4675058636,-0.6384551228842351,35.490867579908674,35040,31536000
15,-22395.64634004249,-0.6391451581062355,223956463.40042487,6391.451581062353,-9800.160083334684,-0.2796849338851223,-22395.64634004249,-0.6391451581062355,35.32819634703196,35040,31536000
16,-22558.790730639397,-0.6438011053264668,225587907.30639398,6438.011053264669,-9911.762682487115,-0.2828699395686962,-22558.790730639397,-0.6438011053264668,35.52796803652968,35040,31536000
17,-22764.32430741228,-0.6496667895950993,227643243.07412276,6496.667895950992,-9814.615852442499,-0.280097484373359,-22764.32430741228,-0.6496667895950993,35.25970319634703,35040,31536000
18,-22825.118610615293,-0.6514017868326282,228251186.10615295,6514.017868326283,-9864.605546699127,-0.2815241308989477,-22825.118610615293,-0.6514017868326282,35.199771689497716,35040,31536000
