episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-25813.07697053021,-0.7366745710767754,175672076.07222146,5013.4724906455895,-34058.94633383827,-0.9720018930889918,-17567.207607222146,-0.501347249064559,58.570205479452056,35040,31536000
1,-25873.574882217436,-0.7384011096523241,176477111.86004204,5036.447256279738,-34099.438578430665,-0.9731574936766743,-17647.711186004202,-0.5036447256279738,59.38641552511415,35040,31536000
2,-26138.6804646433,-0.7459669082375371,178499817.1713511,5094.172864479198,-34427.37921215149,-0.9825165300271544,-17849.98171713511,-0.5094172864479198,59.523401826484026,35040,31536000
3,-26231.23856200956,-0.7486084064500445,179180435.91761327,5113.596915456999,-34544.43353225779,-0.985857121354389,-17918.04359176133,-0.5113596915457,60.15981735159818,35040,31536000
4,-26079.81034995688,-0.744286825055847,180326745.41734934,5146.3112276640795,-34126.94615817883,-0.9739425273452862,-18032.67454173493,-0.5146311227664079,60.33675799086758,35040,31536000
5,-26196.36165342059,-0.7476130608852908,181494505.9795142,5179.6377277258625,-34243.27270888975,-0.9772623489979952,-18149.450597951425,-0.5179637727725863,60.582191780821915,35040,31536000
6,-26216.114854524938,-0.7481767937935199,182525849.7123022,5209.071053433282,-34179.64473781965,-0.9754464822437116,-18252.584971230222,-0.5209071053433283,60.585045662100455,35040,31536000
7,-26341.433934388515,-0.7517532515521836,183689959.76715523,5242.29337235032,-34313.87189206149,-0.9792771658693348,-18368.995976715527,-0.5242293372350322,60.94748858447488,35040,31536000
8,-26285.789944742806,-0.7501652381490527,183856254.81371474,5247.0392355512195,-34185.95440811414,-0.9756265527429835,-18385.625481371477,-0.5247039235551221,60.87043378995433,35040,31536000
9,-26315.380297274078,-0.7510097116801963,184602529.968406,5268.33704247734,-34170.50759770756,-0.9751857191126587,-18460.252996840598,-0.526833704247734,61.18436073059361,35040,31536000
10,-26278.267124030208,-0.7499505457771178,185007019.52753305,5279.8806942789115,-34055.832295307104,-0.9719130221263443,-18500.70195275331,-0.5279880694278912,61.14440639269406,35040,31536000
11,-26410.8935093527,-0.7537355453582392,185641503.01919258,5297.988099862801,-34257.636716786146,-0.9776722807301982,-18564.15030191926,-0.5297988099862803,61.52682648401826,35040,31536000
12,-26302.351040081277,-0.7506378721484382,187018478.22576183,5337.285337493203,-33902.854257586376,-0.9675472105475564,-18701.847822576186,-0.5337285337493204,60.92751141552512,35040,31536000
13,-26438.028150930913,-0.7545099358142384,186885720.3860548,5333.496586360012,-34187.48426325634,-0.9756702129924754,-18688.572038605485,-0.5333496586360013,61.609589041095894,35040,31536000
14,-26435.750690512865,-0.7544449397977415,187757373.8507496,5358.372541402671,-34095.763995950765,-0.9730526254552159,-18775.73738507496,-0.5358372541402672,62.03196347031964,35040,31536000
15,-26479.428393096772,-0.7556914495746796,189014341.1565023,5394.244896018901,-34057.42267054332,-0.9719584095474691,-18901.434115650234,-0.5394244896018903,61.89497716894977,35040,31536000
16,-26548.64460960013,-0.7576667982191818,189484624.2335134,5407.6662167098575,-34148.826795848916,-0.9745669747673777,-18948.462423351342,-0.5407666216709858,61.97488584474886,35040,31536000
17,-26371.122044190044,-0.7526005149597615,189944914.51148245,5420.80235477975,-33747.75263723184,-0.963120794441548,-18994.491451148246,-0.542080235477975,61.389840182648406,35040,31536000
18,-26583.34927791753,-0.7586572282510711,191029441.53974676,5451.753468600079,-34063.75440186037,-0.9721391096421339,-19102.944153974677,-0.5451753468600079,62.15182648401827,35040,31536000
