episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-19856.746241252054,-0.5666879635060518,98326564.75149752,2806.123423273331,-29880.83600735436,-0.8527635846847705,-9832.656475149754,-0.2806123423273332,58.24771689497717,35040,31536000
1,-20253.830584630232,-0.5780202792417304,103314321.94694501,2948.4680920931796,-30176.228974565955,-0.8611937492741425,-10331.432194694502,-0.294846809209318,58.90125570776256,35040,31536000
2,-20643.247643970106,-0.5891337797936674,107311404.72663277,3062.5400892303874,-30555.354815276944,-0.8720135506642963,-10731.140472663275,-0.30625400892303867,58.710045662100455,35040,31536000
3,-21039.42792885521,-0.6004402947732651,110656679.37193783,3158.010256048454,-31013.18792051664,-0.885079563941685,-11065.66793719378,-0.31580102560484535,58.92408675799087,35040,31536000
4,-21446.59393322221,-0.6120603291444695,113765351.7054562,3246.7280737858505,-31516.652695898796,-0.8994478509103537,-11376.535170545621,-0.32467280737858506,59.10673515981735,35040,31536000
5,-21524.563496420233,-0.6142854879115364,117193791.64976731,3344.571679502492,-31329.74782786373,-0.8941138078728234,-11719.37916497673,-0.33445716795024916,58.89840182648401,35040,31536000
6,-21990.189032261656,-0.6275738879070107,119548492.04791377,3411.7720333308725,-32025.52885973193,-0.913970572480934,-11954.849204791379,-0.3411772033330873,59.67465753424658,35040,31536000
7,-22387.484673399755,-0.6389122338299017,124188751.76075035,3544.1995365510948,-32356.09417072447,-0.9234045140046938,-12418.875176075035,-0.3544199536551094,59.68607305936074,35040,31536000
8,-22527.802790554808,-0.6429167463057879,127024147.5364165,3625.118365765311,-32353.19082746797,-0.9233216560350448,-12702.414753641651,-0.36251183657653113,59.45490867579909,35040,31536000
9,-22791.00526802678,-0.6504282325350108,128964587.83746505,3680.496228238158,-32685.551752307056,-0.9328068422462059,-12896.458783746504,-0.36804962282381576,60.108447488584474,35040,31536000
10,-22948.096829624734,-0.6549114392016191,130812475.05970146,3733.2327357220734,-32814.94615327932,-0.9364996048310309,-13081.247505970145,-0.37332327357220735,60.282534246575345,35040,31536000
11,-23255.38724501045,-0.6636811428370563,133509780.9181338,3810.2106426408045,-33159.796398207516,-0.9463412214100319,-13350.978091813382,-0.38102106426408056,60.097031963470315,35040,31536000
12,-23141.391694437432,-0.6604278451608856,136015930.28636646,3881.7331702730153,-32681.190360238223,-0.9326823732944698,-13601.593028636646,-0.3881733170273015,59.569063926940636,35040,31536000
13,-23545.288338583105,-0.6719545758728055,138422312.6792736,3950.4084668742466,-33248.34540923885,-0.9488683050581863,-13842.231267927364,-0.3950408466874248,59.897260273972606,35040,31536000
14,-23646.024646924525,-0.6748294705172524,140619251.52922887,4013.106493414066,-33230.12414092616,-0.9483482916930981,-14061.925152922888,-0.4013106493414066,60.111301369863014,35040,31536000
15,-24048.9953188044,-0.6863297750800342,142283305.30714563,4060.59661264685,-33869.66010689423,-0.9665998888953834,-14228.330530714562,-0.406059661264685,60.39954337899543,35040,31536000
16,-24030.281999498955,-0.685795719163783,144507178.3152965,4124.063308084946,-33609.846167468255,-0.9591851075190712,-14450.71783152965,-0.4124063308084946,60.27111872146119,35040,31536000
17,-24244.382570825484,-0.6919058952861155,145899330.86887157,4163.793689180125,-33898.832054763814,-0.9674324216542184,-14589.933086887157,-0.41637936891801247,60.52511415525114,35040,31536000
18,-24364.996611476545,-0.6953480768115452,147362680.29825646,4205.555944584945,-33993.725193127444,-0.970140559164596,-14736.268029825647,-0.4205555944584945,60.136986301369866,35040,31536000
