episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-24390.196486328914,-0.6960672513221722,184173747.20658493,5256.100091512127,-30363.01825199934,-0.8665244934931319,-18417.374720658496,-0.5256100091512128,53.236301369863014,35040,31536000
1,-24643.031802961028,-0.7032828710890704,184962170.54094523,5278.600757447067,-30789.84655182753,-0.8787056664334341,-18496.217054094526,-0.5278600757447068,54.17808219178082,35040,31536000
2,-24429.254122282877,-0.6971819098825022,185784482.5396603,5302.068565629575,-30280.05999059972,-0.8641569632020467,-18578.44825396603,-0.5302068565629575,53.56449771689498,35040,31536000
3,-24562.60597052737,-0.7009876133141373,187291101.23600456,5345.065674543509,-30396.101817454284,-0.8674686591739237,-18729.110123600454,-0.5345065674543509,54.540525114155244,35040,31536000
4,-24810.763164705106,-0.7080697250201229,188431961.143585,5377.624461860302,-30778.3302150517,-0.8783770038542152,-18843.1961143585,-0.5377624461860302,55.08847031963471,35040,31536000
5,-24704.244340252037,-0.7050298042309371,188400462.789975,5376.725536243578,-30568.442401506574,-0.8723870548375164,-18840.0462789975,-0.5376725536243578,55.47945205479452,35040,31536000
6,-24787.85915625641,-0.7074160718109707,189757272.7767808,5415.447282442375,-30599.991034834737,-0.8732874153777037,-18975.72727767808,-0.5415447282442375,55.49372146118722,35040,31536000
7,-24890.75514455055,-0.7103526011572645,190049280.6705582,5423.780841054743,-30776.58222204527,-0.8783271182090545,-19004.928067055822,-0.5423780841054744,55.65924657534247,35040,31536000
8,-24744.02087843783,-0.7061649794074724,191420455.8043214,5462.912551493191,-30345.996176443517,-0.8660387036656255,-19142.045580432143,-0.5462912551493191,55.359589041095894,35040,31536000
9,-25029.789339134673,-0.7143204720072681,193137865.53327036,5511.925386223469,-30745.79212494231,-0.8774484053921892,-19313.786553327038,-0.551192538622347,56.06164383561644,35040,31536000
10,-25022.169074150734,-0.7141029986915164,193908972.81113458,5533.931872463886,-30653.44086718801,-0.874812810136644,-19390.897281113463,-0.5533931872463888,55.94463470319635,35040,31536000
11,-25045.244024870837,-0.7147615303901494,194980794.64527076,5564.520395127591,-30592.40858521459,-0.8730710212675397,-19498.07946452708,-0.5564520395127591,55.95034246575342,35040,31536000
12,-25113.250488342666,-0.7167023541193683,196654646.2375699,5612.290132350739,-30561.036352928342,-0.8721756950036628,-19665.464623756994,-0.561229013235074,56.118721461187214,35040,31536000
13,-25107.589361811977,-0.7165407922891546,197611808.22632992,5639.606399153251,-30453.997900990962,-0.8691209446629841,-19761.180822632996,-0.5639606399153252,56.15011415525114,35040,31536000
14,-25206.140750793264,-0.7193533319290315,198136099.59703588,5654.569052426823,-30598.67154188294,-0.8732497586153807,-19813.609959703586,-0.5654569052426822,56.3527397260274,35040,31536000
15,-25214.76988171597,-0.7195995970809352,198949420.6655,5677.780270134132,-30534.59769688194,-0.8714211671484572,-19894.94206655,-0.5677780270134133,56.41552511415525,35040,31536000
16,-25242.984646908164,-0.7204048129825389,199194436.32311475,5684.772726116289,-30566.52566150485,-0.8723323533534489,-19919.44363231147,-0.5684772726116287,56.13299086757991,35040,31536000
17,-25147.299695861857,-0.7176740780782493,200292542.4051547,5716.111370010123,-30265.34515120824,-0.8637370191554863,-20029.25424051547,-0.5716111370010123,56.16438356164384,35040,31536000
18,-25314.120248555126,-0.7224349386003175,201752474.5844492,5757.776101154373,-30452.993038665336,-0.8690922670851979,-20175.24745844492,-0.5757776101154372,56.19577625570776,35040,31536000
