episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-13472.193679670523,-0.38448041323260623,204968038.3989107,5849.544474854757,-6447.583519449974,-0.1840063789797367,-20496.803839891076,-0.5849544474854759,33.573059360730596,35040,31536000
1,-13542.131774719814,-0.3864763634337846,205697212.08639982,5870.354226210041,-6514.542340799642,-0.18591730424656513,-20569.721208639985,-0.5870354226210042,33.60159817351598,35040,31536000
2,-13570.548368726255,-0.38728733929013287,206961255.62588823,5906.42852813608,-6444.9711748636855,-0.1839318257666577,-20696.125562588823,-0.590642852813608,33.567351598173516,35040,31536000
3,-13673.130754155349,-0.39021491878297226,209200664.1366982,5970.33858837609,-6426.195094640874,-0.18339597872833546,-20920.066413669818,-0.597033858837609,33.541666666666664,35040,31536000
4,-13746.083636113412,-0.39229690742332796,210143614.91180784,5997.249284012781,-6477.805781046038,-0.1848688864453778,-21014.36149118078,-0.599724928401278,33.56164383561644,35040,31536000
5,-13769.200057782713,-0.39295662265361625,210936601.2182579,6019.880171753935,-6444.739993739637,-0.18392522813183895,-21093.660121825793,-0.6019880171753936,33.59589041095891,35040,31536000
6,-13860.474409408906,-0.39556148428678384,212760754.03274935,6071.939327418646,-6444.873415542873,-0.183929035831703,-21276.07540327494,-0.6071939327418647,33.60159817351598,35040,31536000
7,-13934.132071544089,-0.3976635865166692,214518267.34703147,6122.09667086277,-6416.437408385029,-0.18311750594706133,-21451.826734703143,-0.6122096670862769,33.58162100456621,35040,31536000
8,-14008.755853972267,-0.3997932606727245,216112742.99516132,6167.601112875609,-6406.2374084284,-0.18282641005788813,-21611.27429951613,-0.6167601112875608,33.57591324200913,35040,31536000
9,-14127.816354671613,-0.4031911060123177,218080265.09864292,6223.751857837983,-6447.606199478936,-0.18400702624083723,-21808.026509864292,-0.6223751857837982,33.550228310502284,35040,31536000
10,-14157.696907022188,-0.40404386150177474,218980575.2029506,6249.445639353613,-6417.336293749316,-0.18314315906818823,-21898.057520295064,-0.6249445639353615,33.53595890410959,35040,31536000
11,-14313.593403078483,-0.40849296241662336,221775670.90101144,6329.214352197815,-6449.619716055818,-0.1840644896134651,-22177.567090101147,-0.6329214352197816,33.478881278538815,35040,31536000
12,-14326.805967746108,-0.40887003332608757,222271819.25943065,6343.373837312519,-6426.430009549145,-0.1834026829209231,-22227.181925943067,-0.6343373837312519,33.49029680365297,35040,31536000
13,-14389.909104947259,-0.4106709219448419,223739914.8354528,6385.271542107671,-6405.826726349234,-0.1828146896789165,-22373.991483545276,-0.638527154210767,33.48173515981735,35040,31536000
14,-14530.918560538417,-0.41469516439892745,225512320.0962366,6435.853884025017,-6510.605111453182,-0.18580494039535336,-22551.232009623654,-0.6435853884025016,33.53310502283105,35040,31536000
15,-14599.475043745571,-0.416651685038401,227629833.6937259,6496.285208154279,-6435.966718118551,-0.18367484926137417,-22762.983369372596,-0.649628520815428,33.473173515981735,35040,31536000
16,-14689.254116319664,-0.4192138731826388,229416790.7110374,6547.2828399268665,-6436.82916153559,-0.18369946237259105,-22941.679071103743,-0.6547282839926867,33.484589041095894,35040,31536000
17,-14775.507372746919,-0.42167543871994634,230692209.9979136,6583.681792177899,-6481.793745702472,-0.1849826982221025,-23069.22099979136,-0.6583681792177899,33.37899543378995,35040,31536000
18,-14847.729463404665,-0.4237365714441971,231829178.6858064,6616.12952870452,-6512.5410582286895,-0.18586019001794205,-23182.917868580636,-0.661612952870452,33.407534246575345,35040,31536000
