episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-14365.462866947842,-0.40997325533526946,195549666.15403378,5580.75531261512,-9175.959118492308,-0.26187097940902704,-19554.966615403377,-0.5580755312615119,30.522260273972602,35040,31536000
1,-14375.084586665123,-0.4102478477929544,196479984.4387599,5607.3054919737415,-9102.17072945426,-0.2597651463885348,-19647.99844387599,-0.5607305491973741,30.50799086757991,35040,31536000
2,-14424.299538369733,-0.4116523840858942,198139048.05059096,5654.653197790838,-9034.69427168037,-0.2578394483927046,-19813.904805059097,-0.5654653197790839,30.31392694063927,35040,31536000
3,-14406.613342453495,-0.411147641051755,198450737.01288682,5663.548430733072,-8968.152983618304,-0.25594043903020275,-19845.073701288682,-0.5663548430733072,30.23687214611872,35040,31536000
4,-14511.922190583651,-0.4141530305531864,200709483.7957,5728.010382297375,-8952.896001597304,-0.2555050228766354,-20070.94837957,-0.5728010382297375,30.225456621004565,35040,31536000
5,-14577.81837856031,-0.416033629525123,202246465.62293813,5771.874018919467,-8930.990194826803,-0.2548798571582992,-20224.64656229382,-0.577187401891947,30.12271689497717,35040,31536000
6,-14581.471130286127,-0.4161378747227776,203037358.52687702,5794.445163438271,-8859.20640788455,-0.25283123310172806,-20303.735852687703,-0.5794445163438271,30.011415525114156,35040,31536000
7,-14564.075624672876,-0.41564142764477385,203413876.3113656,5805.19053400016,-8786.763618209186,-0.25076380188953157,-20341.387631136568,-0.5805190534000162,29.90011415525114,35040,31536000
8,-14624.050187618526,-0.41735303046856526,204515013.42301583,5836.615679880589,-8796.599032935468,-0.25104449294907155,-20451.501342301584,-0.5836615679880589,29.897260273972602,35040,31536000
9,-14681.822813841656,-0.41900179263246734,206085510.58809215,5881.435804454684,-8755.094568874103,-0.2498600048194664,-20608.55105880921,-0.5881435804454683,29.8458904109589,35040,31536000
10,-14772.011465248988,-0.4215756696703478,207960310.9432584,5934.940380800754,-8747.991836172134,-0.24965730126062025,-20796.031094325845,-0.5934940380800755,29.73744292237443,35040,31536000
11,-14832.479885950008,-0.4233013666081623,209390348.90251368,5975.751966395938,-8725.92488164865,-0.2490275365767309,-20939.034890251365,-0.5975751966395938,29.823059360730593,35040,31536000
12,-14949.198850275323,-0.4266323872795469,211469318.26615047,6035.083283851326,-8751.465873935595,-0.24975644617396103,-21146.93182661505,-0.6035083283851327,29.78025114155251,35040,31536000
13,-14947.39450190707,-0.42658089331926574,211773566.02685815,6043.766153734537,-8717.432401128328,-0.24878517126507785,-21177.356602685817,-0.6043766153734537,29.708904109589042,35040,31536000
14,-15066.516676282205,-0.429980498752346,213828063.0554694,6102.399059802208,-8750.227047017468,-0.2497210915244711,-21382.80630554694,-0.6102399059802208,29.640410958904113,35040,31536000
15,-15152.574052975002,-0.4324364741145834,215703200.79254666,6155.913264627473,-8734.828026695333,-0.24928162176641933,-21570.320079254667,-0.6155913264627474,29.711757990867582,35040,31536000
16,-15269.132405138957,-0.4357629111055638,217670336.3773518,6212.052978805702,-8771.231172542733,-0.25032052433055746,-21767.03363773518,-0.6212052978805702,29.640410958904113,35040,31536000
17,-15331.90332258789,-0.437554318567006,218906008.89660197,6247.317605496632,-8773.205755515579,-0.2503768765843487,-21890.6008896602,-0.6247317605496633,29.708904109589042,35040,31536000
18,-15383.493086786519,-0.43902662918911295,220278456.7387682,6286.485637521923,-8739.140499696217,-0.2494046946260336,-22027.84567387682,-0.6286485637521922,29.563356164383563,35040,31536000
