episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-16067.181044794159,-0.45853827182631735,211337873.50080028,6031.332006301378,-11000.574739508287,-0.31394334302249677,-21133.78735008003,-0.6031332006301379,32.34303652968036,35040,31536000
1,-16025.325419162951,-0.457343761962413,212787335.9200033,6072.697942922468,-10771.91724632557,-0.3074177296325791,-21278.733592000328,-0.6072697942922468,32.41723744292238,35040,31536000
2,-15958.317590821096,-0.4554314380942094,213365423.73575562,6089.195882869738,-10580.09280806663,-0.3019432879014449,-21336.542373575565,-0.6089195882869739,32.65696347031963,35040,31536000
3,-16007.887794734412,-0.45684611286342497,215221538.13996938,6142.167184359857,-10493.621775471885,-0.2994755072908643,-21522.153813996934,-0.6142167184359856,32.7425799086758,35040,31536000
4,-15910.833115640911,-0.45407628754682966,215595998.2987346,6152.853832726444,-10262.06640140836,-0.29286719182101484,-21559.59982987346,-0.6152853832726444,32.95662100456621,35040,31536000
5,-15915.303292200919,-0.45420386107879335,216281994.18921193,6172.431341016322,-10202.407165480645,-0.29116458805595447,-21628.19941892119,-0.6172431341016321,33.31906392694064,35040,31536000
6,-15934.83996465236,-0.45476141451633445,217189196.126177,6198.32180725391,-10150.760316687014,-0.2896906483072778,-21718.9196126177,-0.619832180725391,33.4189497716895,35040,31536000
7,-15912.475173914921,-0.45412314994049435,217945773.19395155,6219.913618548845,-10030.373028434688,-0.2862549380261041,-21794.577319395157,-0.6219913618548846,33.58732876712329,35040,31536000
8,-15967.222255266379,-0.45568556664573,219653208.64630774,6268.641799266773,-9969.123645901986,-0.2845069533647827,-21965.32086463078,-0.6268641799266775,33.82420091324201,35040,31536000
9,-15938.90312614298,-0.4548773723214321,219538047.72991055,6265.355243433521,-9924.001479294906,-0.28321922029951213,-21953.804772991058,-0.6265355243433521,34.06392694063927,35040,31536000
10,-16067.91980103308,-0.45855935505231393,221809714.0729747,6330.185903909096,-9954.868194768693,-0.2841001197137184,-22180.971407297468,-0.6330185903909095,34.15525114155251,35040,31536000
11,-16080.15211533618,-0.4589084507801421,222651387.15381834,6354.206254389793,-9895.165515290526,-0.28239627612130497,-22265.138715381832,-0.6354206254389793,34.39497716894977,35040,31536000
12,-16157.452671068399,-0.4611145168683904,224098592.44945553,6395.507775384005,-9905.046097191245,-0.2826782561983803,-22409.859244945554,-0.6395507775384005,34.43493150684932,35040,31536000
13,-16150.11091405346,-0.46090499183942524,224491603.12104255,6406.723833363087,-9851.061516002665,-0.2811376003425418,-22449.160312104254,-0.6406723833363086,34.497716894977174,35040,31536000
14,-16184.050546363425,-0.46187358865192424,224995898.2246063,6421.11581691228,-9868.51127026622,-0.28163559561262047,-22499.58982246063,-0.6421115816912281,34.714611872146115,35040,31536000
15,-16171.280113233508,-0.4615091356516412,225213910.94034123,6427.337640991474,-9821.16913243289,-0.28028450720413495,-22521.391094034127,-0.6427337640991474,34.823059360730596,35040,31536000
16,-16233.980662768146,-0.4632985348963512,226196670.31493297,6455.384426796032,-9848.294294043002,-0.28105862711309937,-22619.667031493293,-0.6455384426796031,35.09132420091324,35040,31536000
17,-16268.919219520316,-0.464295639826493,227035796.9768985,6479.332105505094,-9834.258741350783,-0.28065806910247665,-22703.57969768985,-0.6479332105505093,35.14554794520548,35040,31536000
18,-16309.793664428304,-0.46546214795742874,227792385.10274383,6500.924232384242,-9840.348818582223,-0.2808318726764333,-22779.23851027438,-0.6500924232384241,35.25399543378995,35040,31536000
19,-16320.196136755458,-0.46575902216767856,228071082.8215324,6508.877934404463,-9833.283991357677,-0.2806302508949109,-22807.10828215324,-0.6508877934404463,35.362442922374434,35040,31536000
