episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-9066.657982529878,-0.258751654752565,119274356.89892891,3403.948541636099,-6205.880275166864,-0.1771084553415201,-11927.435689892893,-0.34039485416360993,32.10901826484018,35040,31536000
1,-9463.632930635875,-0.2700808484770512,125571879.10634632,3583.6723489254086,-6370.077950637118,-0.18179446206156158,-12557.187910634633,-0.3583672348925409,32.00342465753425,35040,31536000
2,-9722.933890029102,-0.2774809900122461,129887123.82389452,3706.8243100426516,-6457.155397668756,-0.18427954902022706,-12988.71238238945,-0.3706824310042651,32.368721461187214,35040,31536000
3,-10061.858840140358,-0.2871535057117682,134001010.461199,3824.2297506049945,-6723.616634160812,-0.1918840363630369,-13400.101046119902,-0.3824229750604995,32.69406392694064,35040,31536000
4,-10363.043331386778,-0.29574895352131214,137783526.85930145,3932.1782779481005,-6947.73397684341,-0.1982800792478142,-13778.352685930147,-0.3932178277948101,33.0365296803653,35040,31536000
5,-10592.272744369346,-0.30229088882332605,141952073.19258922,4051.1436413410165,-6989.33816947977,-0.1994674135125505,-14195.207319258921,-0.4051143641341016,32.86815068493151,35040,31536000
6,-10974.190047508111,-0.31319035523710365,145195765.89968842,4143.71478024225,-7428.80350504738,-0.2120092324499823,-14519.576589968843,-0.41437147802422497,33.2277397260274,35040,31536000
7,-11217.913321962435,-0.3201459281381973,148773444.28555432,4245.817473902806,-7558.4822153694395,-0.21571010888611414,-14877.34442855543,-0.42458174739028054,33.398972602739725,35040,31536000
8,-11501.490108319424,-0.32823887295432147,151876829.62878692,4334.384407214238,-7815.297253760156,-0.22303930518721907,-15187.682962878695,-0.43343844072142396,33.72431506849315,35040,31536000
9,-11788.955543631082,-0.33644279519495096,154849920.06928727,4419.232878689705,-8092.919080333435,-0.23096230252093136,-15484.992006928731,-0.4419232878689706,34.021118721461185,35040,31536000
10,-11945.927558957184,-0.3409225901528877,157467201.01569402,4493.926969625971,-8145.135016344969,-0.23245248334317833,-15746.720101569405,-0.44939269696259715,33.91837899543379,35040,31536000
11,-12145.307582948326,-0.34661265933071705,160049086.85107931,4567.610926115277,-8285.706480788722,-0.23646422604990644,-16004.908685107928,-0.45676109261152764,33.929794520547944,35040,31536000
12,-12346.767551431061,-0.35236208765499605,163283579.26577574,4659.919499594056,-8365.177176284547,-0.23873222535058639,-16328.357926577573,-0.4659919499594056,34.106735159817354,35040,31536000
13,-12434.665718835919,-0.35487059699874196,164739196.785184,4701.46109546758,-8395.411759153432,-0.2395950844507258,-16473.919678518403,-0.47014610954675806,34.23801369863014,35040,31536000
14,-12521.21627479696,-0.35734064711178537,166833088.6305101,4761.218282834192,-8359.123686542913,-0.23855946594015162,-16683.30886305101,-0.47612182828341926,34.272260273972606,35040,31536000
15,-12740.927084139934,-0.3636109327665506,169199634.77612343,4828.756700231833,-8561.890690667527,-0.244346195509918,-16919.963477612342,-0.48287567002318327,34.905821917808225,35040,31536000
16,-12954.365095993317,-0.3697022002281198,171667976.3690011,4899.200238841356,-8741.932555086521,-0.24948437657210393,-17166.79763690011,-0.4899200238841356,35.02283105022831,35040,31536000
17,-13135.837924986477,-0.3748812193203903,174048333.25662345,4967.132798419619,-8866.84252431061,-0.2530491587988188,-17404.83332566234,-0.4967132798419618,35.00570776255707,35040,31536000
18,-13344.533687997558,-0.3808371486300673,176126377.85795337,5026.43772425666,-9076.429590199781,-0.25903052483446865,-17612.637785795338,-0.502643772425666,35.08276255707762,35040,31536000
19,-13488.742554136557,-0.3849526984628013,178093192.76782227,5082.5682867529185,-9168.165831490887,-0.2616485682503107,-17809.319276782226,-0.5082568286752919,35.3453196347032,35040,31536000
