episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-20784.0172314553,-0.5931511766967836,213524054.81559634,6093.723025559257,-20215.628981350965,-0.5769300508376417,-21352.405481559632,-0.6093723025559256,41.875,35040,31536000
1,-20681.57904365529,-0.5902277124330847,215428267.11272258,6148.066983810576,-19820.331376038324,-0.565648726485112,-21542.826711272257,-0.6148066983810576,41.81792237442922,35040,31536000
2,-20476.562580415408,-0.5843767859707594,216797359.11912462,6187.139244267255,-19273.389248918353,-0.5500396475147932,-21679.735911912467,-0.6187139244267257,41.64668949771689,35040,31536000
3,-20489.498021624808,-0.5847459481057308,218511096.5891896,6236.047277088744,-19127.886384330646,-0.5458871685025869,-21851.109658918966,-0.6236047277088745,41.79509132420091,35040,31536000
4,-20541.753839164496,-0.5862372670994433,220027178.81177318,6279.314463806312,-19080.789797151665,-0.5445430878182553,-22002.717881177316,-0.6279314463806311,41.72089041095891,35040,31536000
5,-20446.248479215166,-0.5835116575118483,221203216.60619113,6312.877186249747,-18772.17529781122,-0.535735596398722,-22120.321660619113,-0.6312877186249747,42.02340182648402,35040,31536000
6,-20461.778711702817,-0.5839548719093269,222869351.71529838,6360.426704203721,-18636.622251875793,-0.5318670733982818,-22286.93517152984,-0.6360426704203721,41.99486301369863,35040,31536000
7,-20481.492597768418,-0.5845174828130256,223550652.64695355,6379.870223942738,-18607.919930841465,-0.531047943231777,-22355.06526469536,-0.637987022394274,42.19463470319635,35040,31536000
8,-20395.168190863744,-0.5820538867255635,224974017.39098963,6420.491363898106,-18292.934642628523,-0.5220586370613163,-22497.401739098965,-0.6420491363898106,42.3458904109589,35040,31536000
9,-20277.606955418585,-0.5786988286363751,226443643.63280037,6462.432752077636,-17910.849547557125,-0.5111543820649864,-22644.364363280038,-0.6462432752077636,42.33447488584475,35040,31536000
10,-20319.88128619307,-0.5799052878479758,227622772.19159034,6496.083681266848,-17877.48535322711,-0.5102022075692669,-22762.277219159034,-0.6496083681266848,42.545662100456624,35040,31536000
11,-20479.570573246172,-0.5844626305150163,228002374.59697062,6506.917083246878,-18158.903686795282,-0.5182335527053448,-22800.237459697062,-0.6506917083246878,42.81678082191781,35040,31536000
12,-20422.322965337306,-0.5828288517504939,228770484.81588918,6528.838036983138,-17967.597449085697,-0.512773899802674,-22877.04848158892,-0.652883803698314,42.768264840182646,35040,31536000
13,-20426.109319962696,-0.582936909816287,230006601.73558763,6564.115346335263,-17851.558466366627,-0.5094622849990476,-23000.66017355876,-0.6564115346335263,42.676940639269404,35040,31536000
14,-20379.40095923205,-0.5816039086538828,231217160.15669477,6598.663246481015,-17637.085902794628,-0.503341492659664,-23121.716015669477,-0.6598663246481015,42.57990867579909,35040,31536000
15,-20320.288666184373,-0.57991691398928,231028453.18718937,6593.277773607003,-17537.73201364981,-0.5005060506178598,-23102.845318718944,-0.6593277773607005,42.773972602739725,35040,31536000
16,-20286.64067957931,-0.5789566403989529,231906805.05252212,6618.3448930514305,-17382.600853906395,-0.4960787914927624,-23190.680505252218,-0.6618344893051432,42.81678082191781,35040,31536000
17,-20215.28902228585,-0.5769203488095277,231915236.1230744,6618.585505795502,-17239.054432264267,-0.4919821470395053,-23191.523612307443,-0.6618585505795503,43.06506849315068,35040,31536000
18,-20225.469180858683,-0.5772108784491633,232849116.101058,6645.2373316511985,-17166.026751611567,-0.48989802373320684,-23284.911610105795,-0.6645237331651197,42.93949771689498,35040,31536000
19,-20239.518403786922,-0.5776118265920925,232964052.0757954,6648.517467916536,-17182.631599994304,-0.4903719063925315,-23296.40520757954,-0.6648517467916536,43.010844748858446,35040,31536000
