episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-12811.119227702824,-0.365614133210697,124830240.24003616,3562.5068561654157,-13139.214431402033,-0.37497758080485255,-12483.024024003615,-0.3562506856165415,37.09189497716895,35040,31536000
1,-12972.987874356102,-0.37023367221335907,130498309.52191012,3724.2668242554255,-12896.144796521188,-0.36804066200117547,-13049.830952191012,-0.3724266824255426,36.96347031963471,35040,31536000
2,-13177.826923086033,-0.3760795354761996,135366021.92222086,3863.185557141006,-12819.051653949979,-0.36584051523829847,-13536.602192222088,-0.3863185557141007,36.90068493150685,35040,31536000
3,-13430.98589646138,-0.38330439202229966,139737175.0028968,3987.933076566689,-12888.25429263308,-0.3678154763879304,-13973.71750028968,-0.3987933076566689,36.89212328767123,35040,31536000
4,-13536.66592278379,-0.3863203745086698,144615978.1091156,4127.168325031838,-12611.73403465602,-0.3599239165141558,-14461.59781091156,-0.4127168325031838,36.432648401826484,35040,31536000
5,-13713.529900671816,-0.3913678624620952,148446162.7272639,4236.477246782645,-12582.443528617237,-0.35908800024592574,-14844.616272726395,-0.42364772467826467,36.26141552511415,35040,31536000
6,-13920.887745506352,-0.3972856091754096,151665420.51723439,4328.351042158515,-12675.233439289264,-0.3617361141349676,-15166.542051723438,-0.43283510421585153,36.1615296803653,35040,31536000
7,-14021.149348729363,-0.400146956299354,154819654.01836973,4418.369121528816,-12560.33329562175,-0.3584570004458262,-15481.965401836977,-0.44183691215288173,36.09303652968037,35040,31536000
8,-14200.164087435756,-0.4052558244131209,157931077.12660146,4507.165443110772,-12607.220462211364,-0.3597951045151645,-15793.107712660145,-0.4507165443110772,36.446917808219176,35040,31536000
9,-14439.084185703425,-0.4120743203682484,161288835.85424525,4602.991890817501,-12749.284785982327,-0.36384945165474675,-16128.883585424524,-0.4602991890817501,37.04908675799087,35040,31536000
10,-14611.087196529132,-0.4169830820927264,163090975.0244043,4654.4228032078845,-12913.076890617836,-0.3685238838646643,-16309.09750244043,-0.46544228032078855,36.58675799086758,35040,31536000
11,-14763.481878237606,-0.42133224538349334,166410222.1594005,4749.150175781978,-12885.941540535156,-0.3677494731887887,-16641.02221594005,-0.4749150175781978,36.72659817351598,35040,31536000
12,-14857.075497087195,-0.4240032961497487,169146718.07737124,4827.246520472923,-12799.479186437271,-0.36528194025220523,-16914.671807737122,-0.4827246520472923,36.88070776255708,35040,31536000
13,-15007.944201790022,-0.42830890986843667,172631660.49524358,4926.70263970444,-12752.722354055686,-0.3639475557664294,-17263.16604952436,-0.49267026397044406,36.78367579908676,35040,31536000
14,-15032.906000024073,-0.4290212899550249,174473854.36217418,4979.276665587163,-12618.426563830728,-0.36011491335133355,-17447.38543621742,-0.49792766655871634,36.994863013698634,35040,31536000
15,-15216.052952800048,-0.4342480865525128,177227002.74355632,5057.848251813822,-12709.405631244466,-0.36271134792364346,-17722.70027435563,-0.5057848251813821,36.87785388127854,35040,31536000
16,-15258.207822567594,-0.4354511364888012,179167678.73331445,5113.232840562627,-12599.647771803742,-0.35957898892133966,-17916.767873331442,-0.5113232840562626,37.054794520547944,35040,31536000
17,-15367.14773613156,-0.4385601522868596,182013440.92554066,5194.447514998306,-12532.951379709044,-0.35767555307388826,-18201.34409255407,-0.5194447514998308,37.323059360730596,35040,31536000
18,-15518.144794306869,-0.4428694290612691,183868898.3595498,5247.40006733875,-12649.39975265876,-0.3609988513886632,-18386.889835954982,-0.5247400067338751,37.317351598173516,35040,31536000
19,-15583.067030375745,-0.4447222326020475,185563251.12275335,5295.754883640221,-12609.808948476159,-0.359868976840073,-18556.32511227533,-0.529575488364022,37.382990867579906,35040,31536000
