episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-8558.677330369566,-0.2442544900219625,118769302.31620634,3389.534883453377,-5240.424429118496,-0.1495554916985872,-11876.930231620636,-0.3389534883453378,28.36187214611872,35040,31536000
1,-9032.662761353211,-0.25778147149980624,124647084.52495986,3557.279809502279,-5600.617070210432,-0.15983496204938447,-12464.708452495988,-0.35572798095022795,29.001141552511417,35040,31536000
2,-9364.843314105383,-0.2672615101057472,128887747.60518593,3678.303299234758,-5840.911867692175,-0.1666926902880187,-12888.774760518594,-0.36783032992347586,29.343607305936075,35040,31536000
3,-9760.074415965668,-0.27854093652870054,133761741.5082104,3817.401298750297,-6143.974681110293,-0.1753417431823714,-13376.174150821042,-0.3817401298750297,29.840182648401825,35040,31536000
4,-10022.350738710684,-0.2860259914015606,137823084.2850257,3933.3071999151166,-6262.3930489188015,-0.17872126281160963,-13782.308428502569,-0.39333071999151165,30.085616438356166,35040,31536000
5,-10341.826807158366,-0.29514345910840084,141679178.24807817,4043.3555436095367,-6515.735789508911,-0.1859513638558479,-14167.91782480782,-0.4043355543609538,30.21404109589041,35040,31536000
6,-10651.42996117532,-0.3039791655586564,145437972.75718877,4150.627076403789,-6759.062646631761,-0.19289562347693381,-14543.797275718876,-0.4150627076403789,30.468036529680365,35040,31536000
7,-10896.332282107764,-0.31096838704645446,147973149.43422627,4222.978008967645,-6995.3496207929,-0.1996389731961444,-14797.314943422627,-0.4222978008967645,30.687785388127853,35040,31536000
8,-11214.073926247695,-0.32003635634268535,152453970.9794302,4350.855336170953,-7182.750754552367,-0.2049871790682753,-15245.397097943023,-0.4350855336170954,30.89041095890411,35040,31536000
9,-11484.08446556501,-0.3277421365743439,155960927.24163532,4450.939704384569,-7372.076206966486,-0.21039030271023076,-15596.09272416353,-0.44509397043845694,31.138698630136986,35040,31536000
10,-11737.972422559626,-0.3349877974474779,158420214.00840935,4521.124829007116,-7633.923444278308,-0.21786311199424396,-15842.021400840938,-0.4521124829007117,31.26997716894977,35040,31536000
11,-11950.383124229604,-0.3410497466960503,160794467.3060421,4588.883199373347,-7821.319517854994,-0.22321117345476582,-16079.446730604213,-0.45888831993733487,31.461187214611876,35040,31536000
12,-12133.369011505612,-0.34627194667538846,163386482.83151624,4662.856245191673,-7928.089739859601,-0.2262582688316096,-16338.648283151624,-0.46628562451916733,31.675228310502284,35040,31536000
13,-12357.918990429589,-0.3526803364848627,165819537.07925162,4732.292724864486,-8133.884272934015,-0.23213140048327668,-16581.953707925164,-0.47322927248644875,31.817922374429227,35040,31536000
14,-12604.39551655897,-0.35971448392006194,169084024.9266668,4825.457332382043,-8300.388540451257,-0.23688323460191943,-16908.40249266668,-0.4825457332382043,32.057648401826484,35040,31536000
15,-12787.28895698321,-0.36493404557600484,171361000.72743294,4890.439518476967,-8438.477841223123,-0.24082413930431287,-17136.100072743295,-0.4890439518476968,32.228881278538815,35040,31536000
16,-12952.644251923883,-0.36965308938138935,173663516.94938064,4956.150597870452,-8538.936808909704,-0.24369111897573356,-17366.35169493807,-0.49561505978704534,32.525684931506845,35040,31536000
17,-13075.586733949925,-0.3731617218593015,174774938.55877572,4987.869251106613,-8673.679612022283,-0.24753651860794185,-17477.49385587757,-0.4987869251106612,32.81392694063927,35040,31536000
18,-13309.781962544495,-0.37984537564339316,177591666.87349585,5068.255333147713,-8860.3972377394,-0.25286521797201483,-17759.16668734959,-0.5068255333147713,32.88527397260274,35040,31536000
