episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-16024.172577282307,-0.4573108612238101,208373098.68175974,5946.7208527899475,-11211.03528638864,-0.31994963716862557,-20837.30986817598,-0.5946720852789948,34.092465753424655,35040,31536000
1,-16013.285317304699,-0.4570001517495633,209703407.88754815,5984.686298160621,-11056.229845854585,-0.3155316736830646,-20970.340788754813,-0.598468629816062,34.192351598173516,35040,31536000
2,-15953.933258403871,-0.4553063144521653,210833653.7622983,6016.942173581572,-10824.501140577915,-0.3089184115461734,-21083.36537622983,-0.6016942173581573,34.53481735159817,35040,31536000
3,-15954.137081986668,-0.45531213133523596,211983652.42500967,6049.761770120139,-10709.908921472368,-0.30564808565845797,-21198.365242500968,-0.6049761770120139,34.81449771689498,35040,31536000
4,-15888.2163477036,-0.45343083184085614,211761950.6558155,6043.434664834917,-10600.23762982565,-0.3025181971982206,-21176.19506558155,-0.6043434664834917,35.048515981735164,35040,31536000
5,-15829.815482364747,-0.451764140478446,212069320.33249357,6052.206630493538,-10452.69893148014,-0.29830761790753824,-21206.932033249355,-0.6052206630493537,35.29109589041096,35040,31536000
6,-15866.698667848092,-0.4528167428038839,213678733.19296607,6098.137362812959,-10365.524016399575,-0.29581974932647187,-21367.873319296606,-0.6098137362812959,35.44520547945205,35040,31536000
7,-15883.83790271043,-0.45330587621890495,214905139.12470597,6133.137532097773,-10277.161892950262,-0.29329799922803257,-21490.513912470597,-0.6133137532097773,35.493721461187214,35040,31536000
8,-15772.636352382828,-0.4501323159926606,214261237.71288553,6114.761350253582,-10119.148933477101,-0.28878849695996295,-21426.123771288556,-0.6114761350253584,35.662100456621005,35040,31536000
9,-15866.175099618335,-0.4528018007881945,215839251.52920902,6159.795991130394,-10148.425046315762,-0.2896240024633494,-21583.925152920907,-0.6159795991130396,35.97888127853881,35040,31536000
10,-15956.950024303966,-0.4553924093694054,217934711.51615745,6219.5979313971875,-10120.428896992187,-0.2888250255990921,-21793.47115161574,-0.6219597931397186,36.42123287671233,35040,31536000
11,-15998.596083205304,-0.45658093844764,218898933.19449687,6247.115673358929,-10107.298846960928,-0.2884503095593872,-21889.893319449686,-0.6247115673358928,36.37271689497717,35040,31536000
12,-15988.477077254762,-0.4562921540312432,219599136.43013304,6267.098642412473,-10017.040511496218,-0.2858744438212391,-21959.91364301331,-0.6267098642412474,36.30707762557078,35040,31536000
13,-15960.332476977046,-0.4554889405529979,219618899.5584488,6267.66265863153,-9958.77499810921,-0.2842116152428427,-21961.88995584488,-0.626766265863153,36.31849315068493,35040,31536000
14,-15912.97096130211,-0.45413729912391865,219475413.44636217,6263.567735341386,-9878.400577967997,-0.28191782471369853,-21947.54134463622,-0.6263567735341388,36.12157534246575,35040,31536000
15,-15925.664694661416,-0.4544995632038075,219598626.67396227,6267.0840945765485,-9891.466721926603,-0.2822907169499601,-21959.862667396228,-0.6267084094576549,36.48401826484019,35040,31536000
16,-15952.69339959109,-0.455270930353627,220511328.14863122,6293.131511091074,-9854.253984319057,-0.2812287095981466,-22051.132814863126,-0.6293131511091075,36.45833333333333,35040,31536000
17,-15996.85511888245,-0.45653125339276396,221360338.89981958,6317.36126997202,-9857.67634778294,-0.2813263797883259,-22136.033889981954,-0.6317361269972019,36.71232876712329,35040,31536000
18,-16018.444136511513,-0.4571473783251003,221955506.66045424,6334.346651268671,-9841.337606977599,-0.2808600915233333,-22195.550666045423,-0.6334346651268671,36.65239726027397,35040,31536000
