episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),length(timesteps),time_elapsed(seconds)
0,-12894.287033581877,-0.36798764365245085,192802299.5416166,5502.348731210519,-6508.3441130020965,-0.1857404141838498,-19280.22995416166,-0.5502348731210519,33.398972602739725,35040,31536000
1,-12946.594406650544,-0.36948043397975294,194072321.33344713,5538.593645360934,-6485.956679956375,-0.18510150342341253,-19407.232133344714,-0.5538593645360934,33.159246575342465,35040,31536000
2,-12947.130858959998,-0.36949574369178073,194939889.91101468,5563.35302257462,-6400.272726818521,-0.18265618512609935,-19493.988991101472,-0.5563353022574621,32.8824200913242,35040,31536000
3,-13035.792373938464,-0.37202603806902007,196790404.37619004,5616.164508452912,-6392.544310257925,-0.18243562529274898,-19679.04043761901,-0.5616164508452913,32.87956621004567,35040,31536000
4,-13086.622454150289,-0.3734766682120516,198307593.89288807,5659.46329602991,-6342.485519011776,-0.18100700682111232,-19830.759389288807,-0.5659463296029911,32.74828767123288,35040,31536000
5,-13113.875520816717,-0.37425443837947253,198979153.17607963,5678.628800687204,-6329.835724025469,-0.18064599669022458,-19897.915317607964,-0.5678628800687204,32.542808219178085,35040,31536000
6,-13171.05642599907,-0.37588631352737073,200165063.32072362,5712.473268285492,-6325.606519925779,-0.18052530022619231,-20016.506332072364,-0.5712473268285492,32.537100456621005,35040,31536000
7,-13287.907614469486,-0.379221107718878,202155445.51246545,5769.276413026982,-6360.270677692425,-0.18151457413505778,-20215.54455124654,-0.5769276413026981,32.66552511415525,35040,31536000
8,-13362.664835366448,-0.38135459005041233,203322504.7229012,5802.582897343071,-6393.079198442772,-0.1824508903665175,-20332.25047229012,-0.5802582897343072,32.74828767123288,35040,31536000
9,-13437.01591971976,-0.38347648172716214,205177509.48671708,5855.522531013615,-6356.280890767812,-0.18140071035296265,-20517.75094867171,-0.5855522531013616,32.4857305936073,35040,31536000
10,-13509.038399803636,-0.3855319178026152,206803141.6501501,5901.916142983736,-6337.762634592263,-0.18087222130685682,-20680.31416501501,-0.5901916142983735,32.49429223744292,35040,31536000
11,-13629.720981388153,-0.38897605540491303,209285051.94391048,5972.746916207491,-6330.936768385256,-0.18067741918907695,-20928.505194391048,-0.5972746916207491,32.63413242009132,35040,31536000
12,-13637.628897642786,-0.38920173794642654,210297316.0966798,6001.635733352734,-6245.526185617588,-0.17823990255757957,-21029.731609667986,-0.6001635733352736,32.391552511415526,35040,31536000
13,-13706.886310740301,-0.3911782622928168,211201654.69332704,6027.44448325705,-6293.607152147897,-0.17961207625992856,-21120.165469332704,-0.6027444483257051,32.20890410958904,35040,31536000
14,-13797.012822686042,-0.39375036594423635,213545681.6260391,6094.340229053627,-6239.457482768178,-0.1780667089831101,-21354.568162603908,-0.6094340229053626,32.10901826484018,35040,31536000
15,-13863.504206565,-0.3956479511005993,214553563.37254384,6123.103977526936,-6271.652075875612,-0.17898550444850492,-21455.356337254387,-0.6123103977526937,32.308789954337904,35040,31536000
16,-13944.597892361615,-0.397962268617626,216240915.7925517,6171.259012344512,-6265.104205468059,-0.1787986360008008,-21624.091579255175,-0.6171259012344513,32.17180365296804,35040,31536000
17,-14051.69638728037,-0.4010187325137092,217857347.09179056,6217.390042573931,-6317.658065381687,-0.18029846077002532,-21785.73470917906,-0.6217390042573933,32.468607305936075,35040,31536000
18,-14084.442782662505,-0.4019532757609162,218274684.52049166,6229.300357319968,-6341.417113275839,-0.1809765157898356,-21827.468452049172,-0.6229300357319969,32.24600456621005,35040,31536000
