,year,month,day,hour,minute,datasource,drybulb,dewpoint,relhum,atmos_pressure,exthorrad,extdirrad,horirsky,glohorrad,dirnorrad,difhorrad,glohorillum,dirnorillum,difhorillum,zenlum,winddir,windspd,totskycvr,opaqskycvr,visibility,ceiling_hgt,presweathobs,presweathcodes,precip_wtr,aerosol_opt_depth,snowdepth,days_last_snow,Albedo,liq_precip_depth,liq_precip_rate
0,1999,1,1,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-4.4,-9.4,65.0,101800.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,7.2,8.0,7.0,16.0,4267.0,,,60.0,0.088,0.0,88.0,0.16,0.0,1.0
1,1999,1,1,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-4.4,-8.9,68.0,101800.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,5.2,8.0,8.0,16.0,4267.0,,,60.0,0.088,0.0,88.0,0.16,0.0,1.0
2,1999,1,1,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-3.9,-9.4,62.0,101800.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,6.7,10.0,10.0,16.0,3048.0,,,60.0,0.088,0.0,88.0,0.16,0.0,1.0
3,1999,1,1,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-3.3,-10.0,56.0,101800.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,7.2,10.0,10.0,16.0,3658.0,,,60.0,0.088,0.0,88.0,0.16,0.0,1.0
4,1999,1,1,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-3.3,-9.4,59.0,101800.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,9.3,8.0,8.0,16.0,3353.0,,,69.0,0.088,0.0,88.0,0.16,0.0,1.0
5,1999,1,1,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-3.9,-9.4,62.0,101800.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,6.7,8.0,8.0,16.0,3048.0,,,69.0,0.088,0.0,88.0,0.16,0.0,1.0
6,1999,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-4.4,-8.9,68.0,101800.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,6.2,5.0,5.0,16.0,77777.0,,,69.0,0.088,0.0,88.0,0.16,0.0,1.0
7,1999,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-3.3,-9.4,59.0,101900.0,46.0,931.0,240.0,5.0,98.0,3.0,916.0,5596.0,613.0,114.0,260.0,8.8,4.0,4.0,16.0,77777.0,,,69.0,0.088,0.0,88.0,0.16,0.0,1.0
8,1999,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-2.8,-11.1,49.0,102000.0,246.0,1415.0,239.0,131.0,345.0,70.0,13276.0,24133.0,9047.0,1302.0,270.0,9.3,3.0,3.0,16.0,77777.0,,,69.0,0.088,0.0,88.0,0.16,0.0,1.0
9,1999,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-2.2,-13.3,38.0,102100.0,426.0,1415.0,239.0,270.0,577.0,95.0,27359.0,50197.0,12162.0,1684.0,290.0,10.3,3.0,3.0,16.0,77777.0,,,69.0,0.088,0.0,88.0,0.16,0.0,1.0
10,1999,1,1,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-1.1,-13.3,35.0,102100.0,553.0,1415.0,246.0,346.0,501.0,149.0,35825.0,47721.0,17080.0,2953.0,260.0,9.8,5.0,5.0,16.0,77777.0,,,69.0,0.088,0.0,88.0,0.16,0.0,1.0
11,1999,1,1,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-1.7,-14.4,33.0,102100.0,618.0,1415.0,252.0,264.0,139.0,203.0,28573.0,13896.0,22473.0,4862.0,280.0,8.8,8.0,8.0,16.0,1676.0,,,69.0,0.088,0.0,88.0,0.16,0.0,1.0
12,1999,1,1,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-2.2,-15.0,32.0,102200.0,617.0,1415.0,250.0,390.0,347.0,239.0,40681.0,34857.0,25414.0,5549.0,290.0,9.3,8.0,8.0,16.0,1829.0,,,69.0,0.088,0.0,88.0,0.16,0.0,1.0
