,year,month,day,hour,minute,datasource,drybulb,dewpoint,relhum,atmos_pressure,exthorrad,extdirrad,horirsky,glohorrad,dirnorrad,difhorrad,glohorillum,dirnorillum,difhorillum,zenlum,winddir,windspd,totskycvr,opaqskycvr,visibility,ceiling_hgt,presweathobs,presweathcodes,precip_wtr,aerosol_opt_depth,snowdepth,days_last_snow,Albedo,liq_precip_depth,liq_precip_rate
0,1995,1,1,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.2,6.6,96.0,97300.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,4.1,10.0,10.0,0.8,120.0,,,110.0,0.093,0.0,88.0,0.18,,
1,1995,1,1,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.2,6.6,96.0,97300.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,5.1,10.0,10.0,1.6,120.0,,,110.0,0.093,0.0,88.0,0.18,,
2,1995,1,1,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.2,6.6,96.0,97300.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,4.6,10.0,10.0,3.2,120.0,,,110.0,0.093,0.0,88.0,0.18,,
3,1995,1,1,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.7,6.6,93.0,97400.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,5.1,10.0,10.0,11.3,180.0,,,110.0,0.093,0.0,88.0,0.18,,
4,1995,1,1,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.7,6.6,93.0,97400.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,5.1,10.0,10.0,16.1,180.0,,,110.0,0.093,0.0,88.0,0.18,,
5,1995,1,1,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,7.7,6.6,93.0,97400.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,5.6,10.0,10.0,16.1,165.0,,,110.0,0.093,0.0,88.0,0.18,,
6,1995,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.7,6.6,93.0,97400.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,6.1,10.0,10.0,4.0,150.0,,,110.0,0.093,0.0,88.0,0.18,,
7,1995,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.7,6.6,93.0,97500.0,7.0,366.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,6.1,10.0,10.0,11.3,180.0,,,110.0,0.093,0.0,88.0,0.18,,
8,1995,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.7,6.6,93.0,97600.0,166.0,1415.0,328.0,21.0,0.0,21.0,2462.0,0.0,2462.0,799.0,250.0,7.2,10.0,10.0,3.2,150.0,,,110.0,0.093,0.0,88.0,0.18,,
9,1995,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.7,6.6,93.0,97700.0,364.0,1415.0,328.0,38.0,0.0,38.0,4566.0,0.0,4566.0,1610.0,260.0,6.6,10.0,10.0,3.2,150.0,,,110.0,0.093,0.0,88.0,0.18,,
10,1995,1,1,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.7,6.6,93.0,97700.0,514.0,1415.0,328.0,60.0,0.0,60.0,7218.0,0.0,7218.0,2662.0,260.0,6.1,10.0,10.0,11.3,180.0,,,100.0,0.093,0.0,88.0,0.18,,
11,1995,1,1,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.7,6.6,93.0,97700.0,606.0,1415.0,328.0,75.0,0.0,75.0,9036.0,0.0,9036.0,3418.0,250.0,6.1,10.0,10.0,11.3,180.0,,,100.0,0.093,0.0,88.0,0.18,,
12,1995,1,1,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,8.3,6.1,86.0,97700.0,632.0,1415.0,330.0,96.0,0.0,96.0,11406.0,0.0,11406.0,4289.0,260.0,5.6,10.0,10.0,16.1,270.0,,,100.0,0.093,0.0,88.0,0.18,0.0,6.0
13,1995,1,1,14,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.7,5.5,86.0,97700.0,591.0,1415.0,327.0,87.0,0.0,87.0,10333.0,0.0,10333.0,3847.0,260.0,6.6,10.0,10.0,11.3,270.0,,,100.0,0.093,0.0,88.0,0.18,,
14,1995,1,1,15,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.2,5.0,86.0,97800.0,485.0,1415.0,324.0,79.0,0.0,79.0,9244.0,0.0,9244.0,3296.0,270.0,7.2,10.0,10.0,24.1,600.0,,,89.0,0.093,0.0,88.0,0.18,,
15,1995,1,1,16,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,6.6,3.8,82.0,97800.0,323.0,1415.0,320.0,50.0,0.0,50.0,5812.0,0.0,5812.0,1966.0,270.0,7.7,10.0,10.0,24.1,600.0,,,89.0,0.093,0.0,88.0,0.18,,
16,1995,1,1,17,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,5.5,3.3,86.0,97800.0,117.0,1415.0,314.0,18.0,0.0,18.0,2079.0,0.0,2079.0,653.0,280.0,7.2,10.0,10.0,16.1,360.0,,,89.0,0.093,0.0,88.0,0.18,,
