,year,month,day,hour,minute,datasource,drybulb,dewpoint,relhum,atmos_pressure,exthorrad,extdirrad,horirsky,glohorrad,dirnorrad,difhorrad,glohorillum,dirnorillum,difhorillum,zenlum,winddir,windspd,totskycvr,opaqskycvr,visibility,ceiling_hgt,presweathobs,presweathcodes,precip_wtr,aerosol_opt_depth,snowdepth,days_last_snow,Albedo,liq_precip_depth,liq_precip_rate
0,1998,1,1,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,5.0,4.1,94.0,101400.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,777.7,12841.0,,,120.0,0.064,0.0,88.0,0.21,,
1,1998,1,1,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,5.5,4.5,93.0,101400.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,777.7,9789.0,,,120.0,0.064,0.0,88.0,0.21,,
2,1998,1,1,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,6.0,5.2,95.0,101400.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,777.7,6736.0,,,120.0,0.064,0.0,88.0,0.21,,
3,1998,1,1,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,6.5,5.5,93.0,101500.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,777.7,3683.0,,,120.0,0.064,0.0,88.0,0.21,,
4,1998,1,1,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,7.0,6.0,93.0,101500.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,630.0,,,120.0,0.064,0.0,88.0,0.21,,
5,1998,1,1,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,6.0,6.0,100.0,101600.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,2.6,10.0,10.0,8.0,180.0,,,120.0,0.064,0.0,88.0,0.21,,
6,1998,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,6.0,4.0,87.0,101700.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,2.6,10.0,10.0,16.1,300.0,,,120.0,0.064,0.0,88.0,0.21,,
7,1998,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,5.0,4.0,93.0,101700.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2.6,10.0,10.0,11.3,240.0,,,120.0,0.064,0.0,88.0,0.21,,
8,1998,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,4.0,3.0,93.0,101700.0,71.0,1262.0,307.0,20.0,202.0,10.0,2335.0,10829.0,1680.0,225.0,250.0,2.6,10.0,10.0,11.3,600.0,,,120.0,0.064,0.0,88.0,0.21,,
9,1998,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9*9,4.0,3.0,93.0,101800.0,236.0,1415.0,307.0,125.0,490.0,43.0,12847.0,34869.0,6976.0,772.0,240.0,2.6,10.0,10.0,12.9,750.0,,,110.0,0.064,0.0,88.0,0.21,,
