,year,month,day,hour,minute,datasource,drybulb,dewpoint,relhum,atmos_pressure,exthorrad,extdirrad,horirsky,glohorrad,dirnorrad,difhorrad,glohorillum,dirnorillum,difhorillum,zenlum,winddir,windspd,totskycvr,opaqskycvr,visibility,ceiling_hgt,presweathobs,presweathcodes,precip_wtr,aerosol_opt_depth,snowdepth,days_last_snow,Albedo,liq_precip_depth,liq_precip_rate
0,2003,1,1,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,5.6,-2.9,53.0,92100.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,6.2,1.0,1.0,777.7,77777.0,,,89.0,0.039,0.0,88.0,0.2,,
1,2003,1,1,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,4.6,-2.6,58.0,92100.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,5.6,1.0,1.0,777.7,77777.0,,,89.0,0.039,0.0,88.0,0.2,,
2,2003,1,1,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,3.7,-2.2,64.0,92200.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,4.0,4.0,4.0,777.7,77777.0,,,80.0,0.039,0.0,88.0,0.2,,
3,2003,1,1,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,2.2,-2.4,70.0,92200.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,3.0,1.0,1.0,777.7,77777.0,,,69.0,0.039,0.0,88.0,0.2,,
4,2003,1,1,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,1.2,-2.6,74.0,92200.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,2.9,1.0,1.0,777.7,77777.0,,,60.0,0.039,0.0,88.0,0.2,,
5,2003,1,1,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,0.8,-2.3,78.0,92200.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,2.4,1.0,1.0,777.7,77777.0,,,60.0,0.039,0.0,88.0,0.2,,
6,2003,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,1.5,-2.5,73.0,92200.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,2.8,4.0,4.0,777.7,77777.0,,,60.0,0.039,0.0,88.0,0.2,,
7,2003,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,0.5,-3.3,73.0,92200.0,40.0,814.0,247.0,2.0,133.0,1.0,939.0,7631.0,522.0,41.0,190.0,3.3,1.0,0.0,777.7,77777.0,,,60.0,0.039,0.0,88.0,0.2,,
8,2003,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,5.7,-2.9,52.0,92300.0,270.0,1415.0,267.0,143.0,571.0,34.0,14788.0,44873.0,6186.0,687.0,300.0,3.3,1.0,0.0,777.7,77777.0,,,60.0,0.039,0.0,88.0,0.2,,
9,2003,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9?9?9*9*9?9*9*9,6.9,-3.1,47.0,92300.0,494.0,1415.0,271.0,313.0,710.0,64.0,32351.0,65574.0,9349.0,1267.0,280.0,4.7,0.0,0.0,777.7,77777.0,,,60.0,0.039,0.0,88.0,0.2,,
